CIA - The World Factbook --  GDP - composition, by sector of origin   

| Rank | country | (%) | Date of Information |
| 320 | Faroe Islands | 29.00 | 2007 est. |
| 321 | South Africa | 29.00 | 2013 est. |
| 322 | Greenland | 29.00 | 2009 est. |
| 323 | Slovenia | 28.90 | 2013 est. |
| 324 | Bangladesh | 28.90 | 2013 est. |
| 325 | Central African Republic | 28.90 | 2013 est. |
| 326 | Mozambique | 28.70 | 2013 est. |
| 327 | Ghana | 28.70 | 2013 est. |
| 328 | Austria | 28.60 | 2013 est. |
| 329 | Guinea-Bissau | 28.50 | 2013 est. |
| 330 | Mauritania | 28.50 | 2013 est. |
| 331 | Brunei | 28.40 | 2013 est. |
| 332 | Canada | 28.40 | 2013 est. |
| 333 | Angola | 28.40 | 2011 est. |
| 334 | Lithuania | 28.30 | 2013 est. |
| 335 | Honduras | 28.20 | 2013 est. |
| 336 | Algeria | 28.00 | 2013 est. |
| 337 | Ireland | 28.00 | 2013 est. |
| 338 | Hungary | 28.00 | 2013 est. |
| 339 | Qatar | 27.70 | 2013 est. |
| 340 | Togo | 27.60 | 2013 est. |
| 341 | Papua New Guinea | 27.60 | 2013 est. |
| 342 | Tanzania | 27.60 | 2013 est. |
| 343 | Macedonia | 27.50 | 2013 est. |
| 344 | Australia | 27.40 | 2013 est. |
| 345 | Sudan | 27.40 | 2013 est. |
| 346 | Cayman Islands | 27.40 | 2013 est. |
| 347 | Cameroon | 27.30 | 2013 est. |
| 348 | Madagascar | 27.30 | 2013 est. |
| 349 | Turkey | 27.30 | 2013 est. |
| 350 | Tuvalu | 27.20 | 2002 |
| 351 | Uganda | 26.90 | 2013 est. |
| 352 | Niue | 26.90 | 2003 |
| 353 | Eritrea | 26.90 | 2013 est. |
| 354 | Switzerland | 26.80 | 2013 est. |
| 355 | Bosnia and Herzegovina | 26.40 | 2013 est. |
| 356 | Brazil | 26.40 | 2013 est. |
| 357 | Cote d'Ivoire | 26.30 | 2013 est. |
| 358 | Spain | 26.00 | 2013 est. |
| 359 | Nigeria | 26.00 | 2012 est. |
| 360 | Samoa | 25.90 | 2013 est. |
| 361 | India | 25.80 | 2013 est. |
| 362 | Croatia | 25.80 | 2013 est. |
| 363 | Latvia | 25.70 | 2013 est. |
| 364 | Japan | 25.60 | 2013 est. |
| 365 | Afghanistan | 25.60 | 2011 est. |
| 366 | New Zealand | 25.50 | 2013 est. |
| 367 | Nicaragua | 25.50 | 2013 est. |
| 368 | Netherlands | 25.40 | 2013 est. |
| 369 | Zimbabwe | 25.40 | 2013 est. |
| 370 | Pakistan | 25.30 | 2013 est. |
| 371 | Malta | 25.30 | 2013 est. |
| 372 | European Union | 25.20 | 2013 est. |
| 373 | Finland | 25.10 | 2013 est. |
| 374 | Tanzania | 25.00 | 2013 est. |
| 375 | Mozambique | 24.90 | 2013 est. |
| 376 | Laos | 24.80 | 2013 est. |
| 377 | Cambodia | 24.50 | 2013 est. |
| 378 | Mali | 24.40 | 2013 est. |
| 379 | Italy | 24.40 | 2013 est. |
| 380 | Turkmenistan | 24.40 | 2013 est. |
| 381 | Kiribati | 24.30 | 2010 est. |
| 382 | Haiti | 24.10 | 2013 est. |
| 383 | Guatemala | 23.80 | 2013 est. |
| 384 | Anguilla | 23.60 | 2013 est. |
| 385 | Burkina Faso | 23.60 | 2013 est. |
| 386 | Niue | 23.50 | 2003 |
| 387 | Korea, North | 23.40 | 2012 est. |
| 388 | Tajikistan | 23.20 | 2013 est. |
| 389 | Montserrat | 23.20 | 2013 est. |
| 390 | Saint Kitts and Nevis | 23.10 | 2013 est. |
| 391 | Uganda | 23.10 | 2013 est. |
| 392 | Belize | 23.00 | 2012 est. |
| 393 | Congo, Republic of the | 22.90 | 2013 est. |
| 394 | Guinea | 22.90 | 2013 est. |
| 395 | Iceland | 22.90 | 2013 est. |
| 396 | Senegal | 22.70 | 2013 est. |
| 397 | Belgium | 22.60 | 2013 est. |
| 398 | Kosovo | 22.60 | 2009 est. |
| 399 | Turks and Caicos Islands | 22.50 | 2013 est. |
| 400 | Vanuatu | 22.40 | 2013 est. |
| 401 | Cuba | 22.30 | 2013 est. |
| 402 | Portugal | 22.20 | 2013 est. |
| 403 | Syria | 22.20 | 2013 est. |
| 404 | Mauritius | 22.00 | 2013 est. |
| 405 | Tonga | 21.90 | 2013 est. |
| 406 | Congo, Democratic Republic of the | 21.70 | 2013 est. |
| 407 | Denmark | 21.70 | 2013 est. |
| 408 | Pakistan | 21.60 | 2013 est. |
| 409 | Georgia | 21.60 | 2013 est. |
| 410 | Ghana | 21.50 | 2013 est. |
| 411 | Uruguay | 21.50 | 2013 est. |
| 412 | Cote d'Ivoire | 21.30 | 2013 est. |
| 413 | Costa Rica | 21.30 | 2013 est. |
| 414 | Tajikistan | 21.10 | 2013 est. |
| 415 | Tonga | 20.90 | 2013 est. |
| 416 | Kyrgyzstan | 20.80 | 2013 est. |
| 417 | Guyana | 20.70 | 2013 est. |
| 418 | Armenia | 20.60 | 2013 est. |
| 419 | Cameroon | 20.60 | 2013 est. |
| 420 | United Kingdom | 20.50 | 2013 est. |
| 421 | Paraguay | 20.40 | 2013 est. |
| 422 | Saint Vincent and the Grenadines | 20.30 | 2013 est. |
| 423 | Burma | 20.30 | 2013 est. |
| 424 | Zimbabwe | 20.10 | 2013 est. |
| 425 | Afghanistan | 20.00 | 2011 est. |
| 426 | French Polynesia | 20.00 | 2006 |
| 427 | Lebanon | 20.00 | 2013 est. |
| 428 | Palau | 20.00 | 2012 est. |
| 429 | Haiti | 19.90 | 2013 est. |
| 430 | Moldova | 19.90 | 2013 est. |
| 431 | Zambia | 19.80 | 2013 est. |
| 432 | Gambia, The | 19.70 | 2013 est. |
| 433 | United States | 19.50 | 2013 est. |
| 434 | Sao Tome and Principe | 19.50 | 2013 est. |
| 435 | Albania | 19.50 | 2011 est. |
| 436 | Vietnam | 19.30 | 2013 est. |
| 437 | Uzbekistan | 19.10 | 2013 est. |
| 438 | Virgin Islands | 19.00 | 2003 est. |
| 439 | Malawi | 18.90 | 2013 est. |
| 440 | Cabo Verde | 18.80 | 2013 est. |
| 441 | France | 18.70 | 2013 est. |
| 442 | Seychelles | 18.70 | 2013 est. |
| 443 | Sierra Leone | 18.60 | 2013 est. |
| 444 | Burundi | 18.40 | 2013 est. |
| 445 | Sint Maarten | 18.30 | 2008 est. |
| 446 | Fiji | 18.10 | 2013 est. |
| 447 | Panama | 17.90 | 2013 est. |
| 448 | West Bank | 17.90 | 2012 est. |
| 449 | Paraguay | 17.70 | 2013 est. |
| 450 | Liberia | 17.70 | 2002 est. |
| 451 | Syria | 17.60 | 2013 est. |
| 452 | India | 17.40 | 2013 est. |
| 453 | Saint Lucia | 17.40 | 2013 est. |
| 454 | Kenya | 17.40 | 2013 est. |
| 455 | Djibouti | 17.30 | 2013 est. |
| 456 | Bangladesh | 17.20 | 2013 est. |
| 457 | Nicaragua | 17.10 | 2013 est. |
| 458 | Maldives | 17.00 | 2012 est. |
| 459 | Mauritania | 16.90 | 2013 est. |
| 460 | Tuvalu | 16.60 | 2002 |
| 461 | Mongolia | 16.50 | 2013 est. |
| 462 | Madagascar | 16.40 | 2013 est. |
| 463 | Antigua and Barbuda | 16.40 | 2013 est. |
| 464 | Faroe Islands | 16.00 | 2007 est. |
| 465 | Greece | 16.00 | 2013 est. |
| 466 | Cyprus | 15.90 | 2013 est. |
| 467 | Timor-Leste | 15.80 | 2013 est. |
| 468 | Grenada | 15.80 | 2013 est. |
| 469 | Dominica | 15.70 | 2013 est. |
| 470 | Dominica | 15.60 | 2013 est. |
| 471 | Curacao | 15.50 | 2012 est. |
| 472 | Morocco | 15.10 | 2012 est. |
| 473 | Saint Martin | 15.00 | 2000 |
| 474 | Saint Pierre and Miquelon | 15.00 | 2006 est. |
| 475 | Senegal | 14.90 | 2013 est. |
| 476 | Rwanda | 14.80 | 2013 est. |
| 477 | Nepal | 14.50 | 2013 est. |
| 478 | Egypt | 14.50 | 2013 est. |
| 479 | Central African Republic | 14.50 | 2013 est. |
| 480 | Indonesia | 14.30 | 2013 est. |
| 481 | Marshall Islands | 14.30 | 2011 est. |
| 482 | Niger | 14.20 | 2013 est. |
| 483 | Andorra | 14.00 | 2011 est. |
| 484 | Micronesia, Federated States of | 14.00 | 2011 est. |
| 485 | Honduras | 14.00 | 2013 est. |
| 486 | Marshall Islands | 13.90 | 2011 est. |
| 487 | Barbados | 13.90 | 2013 est. |
| 488 | Moldova | 13.80 | 2013 est. |
| 489 | Bhutan | 13.80 | 2013 est. |
| 490 | Sao Tome and Principe | 13.70 | 2013 est. |
| 491 | Guinea-Bissau | 13.50 | 2013 est. |
| 492 | Guatemala | 13.50 | 2013 est. |
| 493 | Luxembourg | 13.30 | 2013 est. |
| 494 | Belize | 13.00 | 2012 est. |
| 495 | Kosovo | 12.90 | 2009 est. |
| 496 | Benin | 12.90 | 2013 est. |
| 497 | Cook Islands | 12.70 | 2010 est. |
| 498 | Gambia, The | 12.60 | 2013 est. |
| 499 | Thailand | 12.10 | 2013 est. |
| 500 | Albania | 12.00 | 2011 est. |
| 501 | Micronesia, Federated States of | 12.00 | 2011 est. |
| 502 | Eritrea | 11.70 | 2013 est. |
| 503 | British Virgin Islands | 11.70 | 2013 est. |
| 504 | Fiji | 11.70 | 2013 est. |
| 505 | Montenegro | 11.30 | 2011 |
| 506 | Malaysia | 11.20 | 2013 est. |
| 507 | Philippines | 11.20 | 2013 est. |
| 508 | Isle of Man | 11.00 | FY08/09 est. |
| 509 | Ethiopia | 10.80 | 2013 est. |
| 510 | Sri Lanka | 10.60 | 2013 est. |
| 511 | Solomon Islands | 10.60 | 2013 est. |
| 512 | Iran | 10.60 | 2013 est. |
| 513 | El Salvador | 10.30 | 2013 est. |
| 514 | Samoa | 10.20 | 2013 est. |
| 515 | Macedonia | 10.20 | 2013 est. |
| 516 | Angola | 10.20 | 2011 est. |
| 517 | China | 10.00 | 2013 est. |
| 518 | Comoros | 10.00 | 2012 est. |
| 519 | Monaco | 10.00 | 2011 |
| 520 | Guernsey | 10.00 | 2000 |
| 521 | Chad | 9.90 | 2013 est. |
| 522 | Ukraine | 9.90 | 2013 est. |
| 523 | Vanuatu | 9.70 | 2013 est. |
| 524 | Algeria | 9.40 | 2013 est. |
| 525 | Cabo Verde | 9.30 | 2013 est. |
| 526 | Argentina | 9.30 | 2013 est. |
| 527 | Bolivia | 9.20 | 2013 est. |
| 528 | Belarus | 9.20 | 2013 est. |
| 529 | Suriname | 8.90 | 2013 est. |
| 530 | Turkey | 8.90 | 2013 est. |
| 531 | Tunisia | 8.60 | 2013 est. |
| 532 | Georgia | 8.50 | 2013 est. |
| 533 | Bosnia and Herzegovina | 8.10 | 2013 est. |
| 534 | Equatorial Guinea | 8.10 | 2013 est. |
| 535 | Liechtenstein | 8.00 | 2009 |
| 536 | Kiribati | 7.90 | 2010 est. |
| 537 | Serbia | 7.90 | 2013 est. |
| 538 | Yemen | 7.70 | 2013 est. |
| 539 | Namibia | 7.70 | 2013 est. |
| 540 | Swaziland | 7.60 | 2013 est. |
| 541 | Uruguay | 7.50 | 2013 est. |
| 542 | Lesotho | 7.40 | 2013 est. |
| 543 | Turkmenistan | 7.20 | 2013 est. |
| 544 | Somalia | 7.20 | 2012 est. |
| 545 | Bahamas, The | 7.10 | 2013 est. |
| 546 | Hong Kong | 6.90 | 2013 est. |
| 547 | Bulgaria | 6.70 | 2013 est. |
| 548 | Colombia | 6.60 | 2013 est. |
| 549 | Jamaica | 6.50 | 2013 est. |
| 550 | Macau | 6.50 | 2013 est. |
| 551 | Romania | 6.40 | 2013 est. |
| 552 | Costa Rica | 6.20 | 2013 est. |
