Field Listing :: Military and security forces :: The World Factbook - Central Intelligence Agency

This entry lists the military and security forces subordinate to defense ministries or the equivalent (typically ground, naval, air, and marine forces), as well as those belonging to interior ministries or the equivalent (typically gendarmeries, border/coast guards, paramilitary police, and other internal security forces).

| Country | Military and security forces |
| **Marshall Islands** | no regular military forces; Marshall Islands Police Department (2019) |
| **Mauritania** | *Mauritanian Armed Forces:* Army, Mauritanian Navy (Marine Mauritanienne), Islamic Republic of Mauritania Air Group (Groupement Aerienne Islamique de Mauritanie, GAIM); Ministry of Interior: Gendarmerie, National Guard (2019) |
| **Mauritius** | no regular military forces; Mauritius Police Force includes a Special Mobile Force (a paramilitary force formed as a mobile infantry battalion) and the National Coast Guard (2019) |
| **Mexico** | Secretariat of National Defense (Secretaria de Defensa Nacional, Sedena): Army (Ejercito), Mexican Air Force (Fuerza Aerea Mexicana, FAM); Secretariat of the Navy (Secretaria de Marina, Semar): Mexican Navy (Armada de Mexico (ARM), includes Naval Air Force (FAN), Mexican Naval Infantry Corps (Cuerpo de Infanteria de Marina, Mexmar or CIM)); Ministry of Security and Citizen Protection: Federal Police, National Guard (2019) |
| | *Note:*Â  the National Guard was formed in 2019 and consists of personnel from the Federal Police and military police units of the Army and Navy |
| **Micronesia, Federated States of** | no military forces; Federated States of Micronesia National Police (2019) |
| **Moldova** | *National Army:* Land Forces Command, Air Forces Command (includes air defense unit); Carabinieri Troops (a component of the Ministry of Internal Affairs that also has official status as a service of the Armed Forces during wartime) (2017) |
| **Monaco** | no regular military forces; Ministry of Interior:Â  Compagnie des Carabiniers du Prince (Princeâ€™s Company of Carabiniers (Palace Guard)), Corps des Sapeurs-pompiers de Monaco (Fire and Emergency), Police Department (2019) |
| **Mongolia** | *Mongolian Armed Forces (Mongol ulsyn zevsegt huchin):* Mongolian Army, Mongolian Air Force (2019) |
| **Montenegro** | *Armed Forces of the Republic of Montenegro:* Army of Montenegro (includes Ground Troops (Kopnena Vojska), Montenegrin Navy (Mornarica Crne Gore, MCG)), Air Force (2019) |
| **Montserrat** | no regular military forces; Royal Montserrat Defence Force (ceremonial, civil defense duties),Â  Montserrat Police Force (2019) |
| **Morocco** | *Royal Armed Forces:* Royal Moroccan Army, Royal Moroccan Navy (includes Coast Guard, marines), Royal Moroccan Air Force, Royal Morroccan Gendarmerie, Morroccan Royal Guard (provides security for the royal family; officially part of the Royal Army); Force Auxiliaire (a paramilitary force under the Ministry of Interior that supplements the military and the police as needed) (2019) |
| **Mozambique** | *Armed Defense Forces of Mozambique (Forcas Armadas de Defesa de Mocambique, FADM):* Mozambique Army, Mozambique Navy (Marinha de Guerra de Mocambique, MGM), Mozambique Air Force (Forca Aerea de Mocambique, FAM) (2019) |
| **Namibia** | *Namibian Defense Force (NDF):* Army, Navy, Air Force (2019) |
| **Nauru** | no regular military forces (2019) |
