CIA - The World Factbook --  Manpower available for military service   

| Rank | country | Manpower available for military service | Date of Information |
| 228 | Central African Republic | 1,145,897.00 | 2010 est. |
| 229 | Bosnia and Herzegovina | 1,143,919.00 | 2010 est. |
| 230 | Moldova | 1,143,440.00 | 2010 est. |
| 231 | Georgia | 1,122,031.00 | 2010 est. |
| 232 | Lebanon | 1,115,349.00 | 2010 est. |
| 233 | Finland | 1,106,193.00 | 2010 est. |
| 234 | Lebanon | 1,081,016.00 | 2010 est. |
| 235 | Georgia | 1,080,840.00 | 2010 est. |
| 236 | Norway | 1,079,043.00 | 2010 est. |
| 237 | Norway | 1,051,210.00 | 2010 est. |
| 238 | New Zealand | 1,019,798.00 | 2010 est. |
| 239 | Croatia | 1,017,355.00 | 2010 est. |
| 240 | Croatia | 1,016,234.00 | 2010 est. |
| 241 | New Zealand | 1,003,429.00 | 2010 est. |
| 242 | Kuwait | 1,002,480.00 | 2010 est. |
| 243 | Oman | 985,957.00 | 2010 est. |
| 244 | United Arab Emirates | 981,649.00 | 2010 est. |
| 245 | Congo, Republic of the | 928,664.00 | 2010 est. |
| 246 | Congo, Republic of the | 914,265.00 | 2010 est. |
| 247 | Mongolia | 898,546.00 | 2010 est. |
| 248 | Mongolia | 891,192.00 | 2010 est. |
| 249 | Lithuania | 890,074.00 | 2010 est. |
| 250 | Panama | 890,006.00 | 2010 est. |
| 251 | Lithuania | 875,780.00 | 2010 est. |
| 252 | Armenia | 854,296.00 | 2010 est. |
| 253 | Liberia | 828,484.00 | 2010 est. |
| 254 | Liberia | 815,826.00 | 2010 est. |
| 255 | Armenia | 805,847.00 | 2010 est. |
| 256 | Mauritania | 804,622.00 | 2010 est. |
| 257 | Uruguay | 780,932.00 | 2010 est. |
| 258 | Albania | 780,216.00 | 2010 est. |
| 259 | Uruguay | 771,159.00 | 2010 est. |
| 260 | Jamaica | 742,958.00 | 2010 est. |
| 261 | Oman | 737,812.00 | 2010 est. |
| 262 | Albania | 731,111.00 | 2010 est. |
| 263 | Jamaica | 726,263.00 | 2010 est. |
| 264 | Mauritania | 718,713.00 | 2010 est. |
| 265 | Kuwait | 616,958.00 | 2010 est. |
| 266 | Namibia | 568,231.00 | 2010 est. |
| 267 | Botswana | 557,647.00 | 2010 est. |
| 268 | Latvia | 546,090.00 | 2010 est. |
| 269 | Latvia | 540,810.00 | 2010 est. |
| 270 | Macedonia | 532,196.00 | 2010 est. |
| 271 | Botswana | 531,095.00 | 2010 est. |
| 272 | Macedonia | 511,964.00 | 2010 est. |
| 273 | Lesotho | 508,953.00 | 2010 est. |
| 274 | Bahrain | 508,863.00 | 2010 est. |
| 275 | Slovenia | 477,592.00 | 2010 est. |
| 276 | Lesotho | 472,456.00 | 2010 est. |
| 277 | Slovenia | 464,301.00 | 2010 est. |
| 278 | Gambia, The | 438,641.00 | 2010 est. |
| 279 | Gambia, The | 423,306.00 | 2010 est. |
| 280 | Qatar | 389,487.00 | 2010 est. |
| 281 | Gaza Strip | 385,961.00 | 2010 est. |
| 282 | Guinea-Bissau | 372,171.00 | 2010 est. |
| 283 | Guinea-Bissau | 370,790.00 | 2010 est. |
| 284 | Gabon | 351,718.00 | 2010 est. |
| 285 | Gabon | 350,640.00 | 2010 est. |
| 286 | Swaziland | 344,038.00 | 2010 est. |
| 287 | Mauritius | 343,628.00 | 2010 est. |
| 288 | Trinidad and Tobago | 341,764.00 | 2010 est. |
| 289 | Cyprus | 327,875.00 | 2010 est. |
| 290 | Trinidad and Tobago | 317,899.00 | 2010 est. |
| 291 | Timor-Leste | 305,643.00 | 2010 est. |
| 292 | Estonia | 302,696.00 | 2010 est. |
| 293 | Timor-Leste | 293,052.00 | 2010 est. |
| 294 | Estonia | 291,801.00 | 2010 est. |
| 295 | Bahrain | 290,801.00 | 2010 est. |
| 296 | Cyprus | 287,891.00 | 2010 est. |
