CIA - The World Factbook --  GDP (official exchange rate)   

| Rank | country | GDP (official exchange rate) | Date of Information |
| 167 | Togo | $ 4,299,000,000 | 2013 est. |
| 168 | Barbados | $ 4,262,000,000 | 2013 est. |
| 169 | Fiji | $ 4,218,000,000 | 2013 est. |
| 170 | Mauritania | $ 4,183,000,000 | 2013 est. |
| 171 | Isle of Man | $ 4,076,000,000 | 2007 est. |
| 172 | Swaziland | $ 3,807,000,000 | 2013 est. |
| 173 | Malawi | $ 3,683,000,000 | 2013 est. |
| 174 | Eritrea | $ 3,438,000,000 | 2013 est. |
| 175 | Guyana | $ 3,020,000,000 | 2013 est. |
| 176 | Guernsey | $ 2,742,000,000 | 2005 est. |
| 177 | Burundi | $ 2,676,000,000 | 2013 est. |
| 178 | Aruba | $ 2,516,000,000 | 2009 est. |
| 179 | Lesotho | $ 2,457,000,000 | 2013 est. |
| 180 | Somalia | $ 2,372,000,000 | 2010 est. |
| 181 | Faroe Islands | $ 2,320,000,000 | 2010 est. |
| 182 | Maldives | $ 2,270,000,000 | 2013 est. |
| 183 | Cayman Islands | $ 2,250,000,000 | 2008 est. |
| 184 | Greenland | $ 2,160,000,000 | 2011 est. |
| 185 | Bhutan | $ 2,133,000,000 | 2013 est. |
| 186 | Central African Republic | $ 2,050,000,000 | 2013 est. |
| 187 | Liberia | $ 1,977,000,000 | 2013 est. |
| 188 | Cabo Verde | $ 1,955,000,000 | 2013 est. |
| 189 | San Marino | $ 1,866,000,000 | 2013 est. |
| 190 | Belize | $ 1,637,000,000 | 2013 est. |
| 191 | Djibouti | $ 1,459,000,000 | 2013 est. |
| 192 | Saint Lucia | $ 1,377,000,000 | 2013 est. |
| 193 | Seychelles | $ 1,271,000,000 | 2013 est. |
| 194 | Antigua and Barbuda | $ 1,220,000,000 | 2013 est. |
| 195 | Gibraltar | $ 1,106,000,000 | 2006 est. |
| 196 | Solomon Islands | $ 1,099,000,000 | 2013 est. |
| 197 | British Virgin Islands | $ 1,095,000,000 | 2008 |
| 198 | Gambia, The | $ 896,000,000 | 2013 est. |
| 199 | Guinea-Bissau | $ 880,000,000 | 2013 est. |
| 200 | Vanuatu | $ 828,000,000 | 2013 est. |
| 201 | Grenada | $ 811,000,000 | 2013 est. |
| 202 | Sint Maarten | $ 794,700,000 | 2008 |
| 203 | Saint Kitts and Nevis | $ 767,000,000 | 2013 est. |
| 204 | Saint Vincent and the Grenadines | $ 742,000,000 | 2013 est. |
| 205 | Northern Mariana Islands | $ 733,000,000 | 2010 est. |
| 206 | Samoa | $ 705,000,000 | 2013 est. |
| 207 | Comoros | $ 658,000,000 | 2013 est. |
| 208 | Saint Martin | $ 561,500,000 | NA |
| 209 | Dominica | $ 495,000,000 | 2013 est. |
| 210 | Tonga | $ 477,000,000 | 2013 est. |
