CIA - The World Factbook 2000 -- International organization participation

| Country | International organization participation |
| **Finland** | AfDB, AsDB, Australia Group, BIS, CBSS, CCC, CE, CERN, EAPC, EBRD, ECE, EIB, EMU, ESA, EU, FAO, G- 9, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NC, NEA, NIB, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNIKOM, UNMIBH, UNMIK, UNMOGIP, UNMOP, UNTSO, UPU, WEU (observer), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **France** | ACCT, AfDB, AsDB, Australia Group, BDEAC, BIS, CCC, CDB (non-regional), CE, CERN, EAPC, EBRD, ECA (associate), ECE, ECLAC, EIB, EMU, ESA, ESCAP, EU, FAO, FZ, G- 5, G- 7, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, InOC, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, MIPONUH, MONUC, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, SPC, UN, UN Security Council, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNIKOM, UNITAR, UNMIBH, UNMIK, UNOMIG, UNRWA, UNTSO, UNU, UPU, WADB (nonregional), WCL, WEU, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **French Guiana** | FZ, WCL, WFTU |
| **French Polynesia** | ESCAP (associate), FZ, ICFTU, SPC, WMO |
| **Gabon** | ACCT, ACP, AfDB, BDEAC, CCC, CEEAC, ECA, FAO, FZ, G-24, G-77, IAEA, IBRD, ICAO, ICFTU, IDA, IDB, IFAD, IFC, IFRCS (associate), ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ITU, NAM, OAU, OIC, OPCW, UDEAC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| **Gambia, The** | ACP, AfDB, C, CCC, ECA, ECOWAS, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, ITU, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Georgia** | BSEC, CCC, CE, CE (guest), CIS, EAPC, EBRD, ECE, FAO, IAEA, IBRD, ICAO, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO (applicant) |
| **Germany** | AfDB, AsDB, Australia Group, BDEAC, BIS, CBSS, CCC, CDB (non-regional), CE, CERN, EAPC, EBRD, ECE, EIB, EMU, ESA, EU, FAO, G- 5, G- 7, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MONUC, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNITAR, UNMIBH, UNMIK, UNOMIG, UPU, WADB (nonregional), WEU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Ghana** | ACP, AfDB, C, CCC, ECA, ECOWAS, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, MINURSO, NAM, OAS (observer), OAU, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNIFIL, UNIKOM, UNMIBH, UNMIK, UNMOP, UNMOT, UNTAET, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Gibraltar** | Interpol (subbureau) |
| **Greece** | Australia Group, BIS, BSEC, CCC, CE, CERN, EAPC, EBRD, ECE, EIB, EU, FAO, G- 6, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIKOM, UNMIBH, UNOMIG, UPU, WEU, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Greenland** | NC, NIB |
| **Grenada** | ACP, C, Caricom, CDB, ECLAC, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, LAES, NAM, OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WToO, WTrO |
| **Guadeloupe** | FZ, WCL, WFTU |
| **Guam** | ESCAP (associate), Interpol (subbureau), IOC, SPC |
| **Guatemala** | BCIE, CACM, CCC, ECLAC, FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA (observer), NAM, OAS, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Guernsey** | none |
| **Guinea** | ACCT, ACP, AfDB, CCC, ECA, ECOWAS, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, MINURSO, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Guinea-Bissau** | ACCT (associate), ACP, AfDB, ECA, ECOWAS, FAO, FZ, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, IOM, ITU, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WADB (regional), WAEMU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Guyana** | ACP, C, Caricom, CCC, CDB, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, ISO (subscriber), ITU, LAES, NAM, OAS, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WTrO |
| **Haiti** | ACCT, ACP, Caricom (observer), CCC, ECLAC, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ITU, LAES, OAS, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Holy See (Vatican City)** | IAEA, ICFTU, Intelsat, IOM (observer), ITU, NAM (guest), OAS (observer), OPCW, OSCE, UN (observer), UNCTAD, UNHCR, UPU, WIPO, WToO (observer) |
| **Honduras** | BCIE, CACM, ECLAC, FAO, G-77, IADB, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ITU, LAES, LAIA (observer), MINURSO, NAM, OAS, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WTrO |
| **Hong Kong** | APEC, AsDB, BIS, CCC, ESCAP (associate), ICFTU, IMO (associate), Interpol (subbureau), IOC, ISO (correspondent), WCL, WMO, WTrO |
| **Hungary** | ABEDA, Australia Group, BIS, CCC, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, G- 9, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIKOM, UNMIBH, UNMIK, UNOMIG, UNU, UPU, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Iceland** | Australia Group, BIS, CBSS, CCC, CE, EAPC, EBRD, ECE, EFTA, FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA (observer), IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO, ITU, NATO, NC, NEA, NIB, OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNMIBH, UNMIK, UNU, UPU, WEU (associate), WHO, WIPO, WMO, WTrO |
| **India** | AfDB, AsDB, BIS, C, CCC, CP, ESCAP, FAO, G- 6, G-15, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA (observer), IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, MINURSO, MIPONUH, MONUC, NAM, OAS (observer), OPCW, PCA, SAARC, UN, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNIKOM, UNMIBH, UNMIK, UNU, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Indonesia** | APEC, AsDB, ASEAN, CCC, CP, ESCAP, FAO, G-15, G-19, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM, OIC, OPCW, OPEC, UN, UNCTAD, UNESCO, UNIDO, UNIKOM, UNMIBH, UNMOP, UNMOT, UNOMIG, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Iran** | CCC, CP, ECO, ESCAP, FAO, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WFTU, WHO, WMO, WToO |
| **Iraq** | ABEDA, ACC, AFESD, AL, AMF, CAEU, CCC, ESCWA, FAO, G-19, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ITU, NAM, OAPEC, OIC, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO |
| **Ireland** | Australia Group, BIS, CCC, CE, EBRD, ECE, EIB, EMU, ESA, EU, FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, MINURSO, NAM (guest), NEA, NSG, OECD, OPCW, OSCE, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIFIL, UNIKOM, UNITAR, UNMIBH, UNMIK, UNMOP, UNTAET, UNTSO, UPU, WEU (observer), WHO, WIPO, WMO, WTrO, ZC |
| **Israel** | BSEC (observer), CCC, CE (observer), CERN (observer), EBRD, ECE, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, IDA, IFAD, IFC, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, OAS (observer), OPCW, OSCE (partner), PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO |
| **Italy** | AfDB, AsDB, Australia Group, BIS, BSEC (observer), CCC, CDB (non-regional), CE, CEI, CERN, EAPC, EBRD, ECE, ECLAC, EIB, EMU, ESA, EU, FAO, G- 7, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, LAIA (observer), MINURSO, MONUC, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNIKOM, UNITAR, UNMIBH, UNMIK, UNMOGIP, UNTSO, UPU, WCL, WEU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Jamaica** | ACP, C, Caricom, CCC, CDB, ECLAC, FAO, G-15, G-19, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, LAES, NAM, OAS, OPANAL, OPCW, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Japan** | AfDB, APEC, AsDB, Australia Group, BIS, CCC, CE (observer), CERN (observer), CP, EBRD, ESCAP, FAO, G- 5, G- 7, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), PCA, UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNITAR, UNRWA, UNU, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Jordan** | ABEDA, ACC, AFESD, AL, AMF, CAEU, CCC, ESCWA, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, NAM, OIC, OPCW, OSCE (partner), PCA, UN, UNCTAD, UNESCO, UNIDO, UNMIBH, UNMIK, UNMOP, UNMOT, UNOMIG, UNRWA, UNTAET, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Kazakhstan** | AsDB, CCC, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, IAEA, IBRD, ICAO, IDA, IDB, IFAD, IFC, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM (observer), OAS (observer), OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (applicant) |
| **Kenya** | ACP, AfDB, C, CCC, EADB, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IGAD, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, MONUC, NAM, OAU, OPCW, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNIKOM, UNMIBH, UNMIK, UNMOP, UNU, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| **Kiribati** | ACP, AsDB, C, ESCAP, IBRD, ICAO, ICFTU, ICRM, IDA, IFC, IFRCS, IMF, Intelsat (nonsignatory user), Interpol, ITU, Sparteca, SPC, SPF, UN, UNESCO, UPU, WHO, WTrO (applicant) |
| **Korea, North** | ESCAP, FAO, ICAO, ICRM, IFAD, IFRCS, IHO, IMO, Intelsat (nonsignatory user), IOC, ISO, ITU, NAM, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO |
| **Korea, South** | AfDB, APEC, AsDB, BIS, CCC, CP, EBRD, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA (observer), IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, MINURSO, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), UN, UNCTAD, UNESCO, UNIDO, UNMOGIP, UNOMIG, UNU, UPU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| **Kuwait** | ABEDA, AfDB, AFESD, AL, AMF, BDEAC, CAEU, CCC, ESCWA, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO (correspondent), ITU, NAM, OAPEC, OIC, OPCW, OPEC, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Kyrgyzstan** | AsDB, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Intelsat, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, NAM (observer), OIC, OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMIK, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO, WTrO (applicant) |
| **Laos** | ACCT, AsDB, ASEAN, CP, ESCAP, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Intelsat (nonsignatory user), Interpol, IOC, ITU, NAM, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO (observer) |
| **Latvia** | BIS, CBSS, CCC, CE, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, IOM (observer), ISO (correspondent), ITU, NSG, OAS (observer), OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WEU (associate partner), WHO, WIPO, WMO, WTrO, WTrO (applicant) |
| **Lebanon** | ABEDA, ACCT, AFESD, AL, AMF, CCC, ESCWA, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO (correspondent), ITU, NAM, OAS (observer), OIC, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNRWA, UPU, WFTU, WHO, WIPO, WMO, WToO |
| **Lesotho** | ACP, AfDB, C, CCC, ECA, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Intelsat (nonsignatory user), Interpol, IOC, ITU, NAM, OAU, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Liberia** | ACP, AfDB, CCC, ECA, ECOWAS, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat (nonsignatory user), Interpol, IOC, IOM, ITU, NAM, OAU, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO |
| **Libya** | ABEDA, AfDB, AFESD, AL, AMF, AMU, CAEU, CCC, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO, ITU, MONUC, NAM, OAPEC, OAU, OIC, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WToO |
| **Liechtenstein** | CE, EBRD, ECE, EFTA, IAEA, ICRM, IFRCS, Intelsat, Interpol, IOC, ITU, OPCW, OSCE, PCA, UN, UNCTAD, UPU, WCL, WIPO, WTrO |
| **Lithuania** | BIS, CBSS, CCC, CE, EAPC, EBRD, ECE, EU (applicant), FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, IOM, ISO (correspondent), ITU, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNMIBH, UNMIK, UPU, WEU (associate partner), WHO, WIPO, WMO, WTrO (applicant) |
| **Luxembourg** | ACCT, Australia Group, Benelux, CCC, CE, EAPC, EBRD, ECE, EIB, EMU, EU, FAO, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO, ITU, NATO, NEA, NSG, OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WEU, WHO, WIPO, WMO, WTrO, ZC |
| **Macau** | CCC, ESCAP (associate), IMO (associate), Interpol (subbureau), UNESCO (associate), WMO, WToO (associate), WTrO |
| **Macedonia, The Former Yugoslav Republic of** | BIS, CCC, CE, CEI, EAPC, EBRD, ECE, FAO, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, ISO, ITU, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO (applicant) |
| **Madagascar** | ACCT, ACP, AfDB, CCC, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Intelsat, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, NAM, OAU, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Malawi** | ACP, AfDB, C, CCC, ECA, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, ISO (correspondent), ITU, NAM, OAU, OPCW, SADC, UN, UNCTAD, UNESCO, UNIDO, UNMIK, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Malaysia** | APEC, AsDB, ASEAN, C, CCC, CP, ESCAP, FAO, G-15, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, ISO, ITU, MINURSO, NAM, OIC, OPCW, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UNIKOM, UNMIBH, UNMIK, UNTAET, UPU, WCL, WFTU, WHO, WIPO, WMO, WTrO |
| **Maldives** | AsDB, C, CCC, CP, ESCAP, FAO, G-77, IBRD, ICAO, IDA, IDB, IFAD, IFC, IMF, IMO, Intelsat (nonsignatory user), Interpol, IOC, ITU, NAM, OIC, OPCW, SAARC, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WMO, WToO, WTrO |
| **Mali** | ACCT, ACP, AfDB, CCC, ECA, ECOWAS, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Intelsat, Interpol, IOC, IOM, ITU, MIPONUH, MONUC, NAM, OAU, OIC, OPCW, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UPU, WADB, WAEMU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Malta** | C, CCC, CE, EBRD, ECE, EU (applicant), FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IFAD, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, NAM, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO |
| **Man, Isle of** | none |
| **Marshall Islands** | AsDB, ESCAP, G-77, IAEA, IBRD, ICAO, IDA, IFC, IMF, IMO, Inmarsat, Intelsat (nonsignatory user), Interpol, ITU, OPCW, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, WHO |
| **Martinique** | FZ, WCL, WFTU |
| **Mauritania** | ABEDA, ACCT (associate), ACP, AfDB, AFESD, AL, AMF, AMU, CAEU, CCC, ECA, ECOWAS, FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO (pending member), ILO, IMF, IMO, Intelsat, Interpol, IOC, ITU, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO |
| **Mauritius** | ACCT, ACP, AfDB, C, CCC, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, InOC, Intelsat, Interpol, IOC, ISO, ITU, NAM, OAU, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Mayotte** | FZ |
| **Mexico** | APEC, BCIE, BIS, Caricom (observer), CCC, CDB, EBRD, ECLAC, FAO, G-3, G-6, G-11, G-15, G-19, G-24, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA (observer), IFAD, IFC, IFRCS, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, LAES, LAIA, NAM (observer), NEA, OAS, OECD, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| **Micronesia, Federated States of** | AsDB, ESCAP, G-77, IBRD, ICAO, IDA, IFC, IMF, Intelsat, IOC, ITU, OPCW, Sparteca, SPC, SPF, UN, UNCTAD, WHO, WMO |
| **Moldova** | ACCT, BIS, BSEC, CCC, CE, CEI, CIS, EAPC, EBRD, ECE, FAO, IAEA, IBRD, ICAO, ICFTU, IDA, IFAD, IFC, ILO, IMF, Intelsat (nonsignatory user), Interpol, IOC, IOM (observer), ISO (correspondent), ITU, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO (applicant) |
| **Monaco** | ACCT, ECE, IAEA, ICAO, ICRM, IFRCS, IHO, IMO, Inmarsat, Intelsat, Interpol, IOC, ITU, OPCW, OSCE, UN, UNCTAD, UNESCO, UPU, WHO, WIPO, WMO |
| **Mongolia** | AsDB, ASEAN (observer), CCC, ESCAP, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, ISO, ITU, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WHO, WIPO, WMO, WToO, WTrO |
| **Montserrat** | Caricom, CDB, ECLAC (associate), ICFTU, Interpol (subbureau), OECS, WCL |
