CIA - The World Factbook --  Sex ratio   

This entry includes the number of males for each female in five age groups - at birth, under 15 years, 15-64 years, 65 years and over, and for the total population. Sex ratio at birth has recently emerged as an indicator of certain kinds of sex discrimination in some countries. For instance, high sex ratios at birth in some Asian countries are now attributed to sex-selective abortion and infanticide due to a strong preference for sons. This will affect future marriage patterns and fertility patterns. Eventually, it could cause unrest among young adult males who are unable to find partners.

| Rank | country | (male(s)/female) | Date of Information |
| 252 | West Bank | 1.05 | 2011 est. |
| 253 | West Bank | 1.05 | 2011 est. |
| 254 | Wallis and Futuna | 1.05 | 2011 est. |
| 255 | Samoa | 1.05 | 2011 est. |
| 256 | Samoa | 1.05 | 2011 est. |
| 257 | Yemen | 1.05 | 2011 est. |
| 258 | Saint Barthelemy | 1.05 | 2011 est. |
| 259 | Thailand | 1.05 | 2011 est. |
| 260 | Thailand | 1.05 | 2011 est. |
| 261 | Tajikistan | 1.05 | 2011 est. |
| 262 | Turks and Caicos Islands | 1.05 | 2011 est. |
| 263 | Timor-Leste | 1.05 | 2011 est. |
| 264 | Turkey | 1.05 | 2011 est. |
| 265 | Turkey | 1.05 | 2011 est. |
| 266 | Tuvalu | 1.05 | 2011 est. |
| 267 | Turkmenistan | 1.05 | 2011 est. |
| 268 | United Kingdom | 1.05 | 2011 est. |
| 269 | United Kingdom | 1.05 | 2011 est. |
| 270 | United States | 1.05 | 2011 est. |
| 271 | Uzbekistan | 1.05 | 2011 est. |
| 272 | Philippines | 1.05 | 2011 est. |
| 273 | Puerto Rico | 1.05 | 2011 est. |
| 274 | Saudi Arabia | 1.05 | 2011 est. |
| 275 | Saudi Arabia | 1.05 | 2011 est. |
| 276 | Seychelles | 1.05 | 2011 est. |
| 277 | Saint Helena, Ascension, and Tristan da Cunha | 1.05 | 2011 est. |
| 278 | Singapore | 1.05 | 2011 est. |
| 279 | Sudan | 1.05 | 2011 est. |
| 280 | Syria | 1.05 | 2011 est. |
| 281 | Switzerland | 1.05 | 2011 est. |
| 282 | Vanuatu | 1.05 | 2011 est. |
| 283 | Nigeria | 1.05 | 2011 est. |
| 284 | Netherlands | 1.05 | 2011 est. |
| 285 | Netherlands | 1.05 | 2011 est. |
| 286 | Norway | 1.05 | 2011 est. |
| 287 | Suriname | 1.05 | 2011 est. |
| 288 | Nicaragua | 1.05 | 2011 est. |
| 289 | New Zealand | 1.05 | 2011 est. |
| 290 | New Zealand | 1.05 | 2011 est. |
| 291 | Paraguay | 1.05 | 2011 est. |
| 292 | Peru | 1.05 | 2011 est. |
| 293 | Pakistan | 1.05 | 2011 est. |
| 294 | Papua New Guinea | 1.05 | 2011 est. |
| 295 | Papua New Guinea | 1.05 | 2011 est. |
| 296 | Marshall Islands | 1.05 | 2011 est. |
| 297 | Slovakia | 1.05 | 2011 est. |
| 298 | Slovakia | 1.05 | 2011 est. |
| 299 | Libya | 1.05 | 2011 est. |
| 300 | Libya | 1.05 | 2011 est. |
| 301 | Macau | 1.05 | 2011 est. |
| 302 | Mongolia | 1.05 | 2011 est. |
| 303 | Monaco | 1.05 | 2011 est. |
| 304 | Morocco | 1.05 | 2011 est. |
| 305 | Mauritius | 1.05 | 2011 est. |
| 306 | Malta | 1.05 | 2011 est. |
| 307 | Oman | 1.05 | 2011 est. |
| 308 | Oman | 1.05 | 2011 est. |
| 309 | Maldives | 1.05 | 2011 est. |
| 310 | Mexico | 1.05 | 2011 est. |
| 311 | New Caledonia | 1.05 | 2011 est. |
| 312 | Iran | 1.05 | 2011 est. |
| 313 | Iran | 1.05 | 2011 est. |
| 314 | Israel | 1.05 | 2011 est. |
| 315 | Solomon Islands | 1.04 | 2011 est. |
| 316 | Brazil | 1.04 | 2011 est. |
| 317 | Bhutan | 1.04 | 2011 est. |
| 318 | Cambodia | 1.04 | 2011 est. |
| 319 | Chad | 1.04 | 2011 est. |
| 320 | Sri Lanka | 1.04 | 2011 est. |
| 321 | Sri Lanka | 1.04 | 2011 est. |
| 322 | Chile | 1.04 | 2011 est. |
| 323 | Chile | 1.04 | 2011 est. |
| 324 | Afghanistan | 1.04 | 2011 est. |
| 325 | Algeria | 1.04 | 2011 est. |
| 326 | Angola | 1.04 | 2011 est. |
| 327 | American Samoa | 1.04 | 2011 est. |
| 328 | Botswana | 1.04 | 2011 est. |
| 329 | Belgium | 1.04 | 2011 est. |
| 330 | Belgium | 1.04 | 2011 est. |
| 331 | Bangladesh | 1.04 | 2011 est. |
| 332 | Belize | 1.04 | 2011 est. |
| 333 | Venezuela | 1.04 | 2011 est. |
| 334 | Virgin Islands | 1.04 | 2011 est. |
| 335 | West Bank | 1.04 | 2011 est. |
| 336 | Western Sahara | 1.04 | 2011 est. |
| 337 | Yemen | 1.04 | 2011 est. |
| 338 | Trinidad and Tobago | 1.04 | 2011 est. |
| 339 | Tajikistan | 1.04 | 2011 est. |
| 340 | Turks and Caicos Islands | 1.04 | 2011 est. |
| 341 | United States | 1.04 | 2011 est. |
| 342 | Uruguay | 1.04 | 2011 est. |
| 343 | Marshall Islands | 1.04 | 2011 est. |
| 344 | Saint Martin | 1.04 | 2011 est. |
| 345 | Philippines | 1.04 | 2011 est. |
| 346 | Puerto Rico | 1.04 | 2011 est. |
| 347 | Saint Pierre and Miquelon | 1.04 | 2011 est. |
| 348 | Seychelles | 1.04 | 2011 est. |
| 349 | Saint Helena, Ascension, and Tristan da Cunha | 1.04 | 2011 est. |
| 350 | New Caledonia | 1.04 | 2011 est. |
| 351 | Vanuatu | 1.04 | 2011 est. |
| 352 | Vanuatu | 1.04 | 2011 est. |
| 353 | Norway | 1.04 | 2011 est. |
| 354 | Nepal | 1.04 | 2011 est. |
| 355 | Nepal | 1.04 | 2011 est. |
| 356 | Suriname | 1.04 | 2011 est. |
| 357 | Nicaragua | 1.04 | 2011 est. |
| 358 | Panama | 1.04 | 2011 est. |
| 359 | Panama | 1.04 | 2011 est. |
| 360 | Papua New Guinea | 1.04 | 2011 est. |
| 361 | Marshall Islands | 1.04 | 2011 est. |
| 362 | Marshall Islands | 1.04 | 2011 est. |
| 363 | Libya | 1.04 | 2011 est. |
| 364 | Mongolia | 1.04 | 2011 est. |
| 365 | Monaco | 1.04 | 2011 est. |
| 366 | Mauritius | 1.04 | 2011 est. |
| 367 | Maldives | 1.04 | 2011 est. |
| 368 | Mexico | 1.04 | 2011 est. |
| 369 | Cote d'Ivoire | 1.04 | 2011 est. |
| 370 | Iraq | 1.04 | 2011 est. |
| 371 | Kyrgyzstan | 1.04 | 2011 est. |
| 372 | Kiribati | 1.04 | 2011 est. |
| 373 | Korea, South | 1.04 | 2011 est. |
| 374 | Laos | 1.04 | 2011 est. |
| 375 | Grenada | 1.04 | 2011 est. |
| 376 | Guam | 1.04 | 2011 est. |
| 377 | Guatemala | 1.04 | 2011 est. |
| 378 | Guyana | 1.04 | 2011 est. |
| 379 | Gaza Strip | 1.04 | 2011 est. |
| 380 | Honduras | 1.04 | 2011 est. |
| 381 | Iceland | 1.04 | 2011 est. |
| 382 | Indonesia | 1.04 | 2011 est. |
| 383 | Cyprus | 1.04 | 2011 est. |
| 384 | Dominica | 1.04 | 2011 est. |
| 385 | Dominican Republic | 1.04 | 2011 est. |
| 386 | Dominican Republic | 1.04 | 2011 est. |
| 387 | Dominican Republic | 1.04 | 2011 est. |
| 388 | Ecuador | 1.04 | 2011 est. |
| 389 | Ireland | 1.04 | 2011 est. |
| 390 | Finland | 1.04 | 2011 est. |
| 391 | Fiji | 1.04 | 2011 est. |
| 392 | Fiji | 1.04 | 2011 est. |
| 393 | Bolivia | 1.04 | 2011 est. |
| 394 | Burma | 1.04 | 2011 est. |
| 395 | Benin | 1.04 | 2011 est. |
| 396 | Solomon Islands | 1.04 | 2011 est. |
| 397 | Saint Vincent and the Grenadines | 1.03 | 2011 est. |
| 398 | Namibia | 1.03 | 2011 est. |
| 399 | Namibia | 1.03 | 2011 est. |
| 400 | Swaziland | 1.03 | 2011 est. |
| 401 | Yemen | 1.03 | 2011 est. |
| 402 | Yemen | 1.03 | 2011 est. |
| 403 | Zambia | 1.03 | 2011 est. |
| 404 | Zimbabwe | 1.03 | 2011 est. |
| 405 | Saint Barthelemy | 1.03 | 2011 est. |
| 406 | Trinidad and Tobago | 1.03 | 2011 est. |
| 407 | Trinidad and Tobago | 1.03 | 2011 est. |
| 408 | Turks and Caicos Islands | 1.03 | 2011 est. |
| 409 | Tonga | 1.03 | 2011 est. |
| 410 | Tonga | 1.03 | 2011 est. |
| 411 | Togo | 1.03 | 2011 est. |
| 412 | Sao Tome and Principe | 1.03 | 2011 est. |
| 413 | Sao Tome and Principe | 1.03 | 2011 est. |
| 414 | Timor-Leste | 1.03 | 2011 est. |
| 415 | Timor-Leste | 1.03 | 2011 est. |
| 416 | Timor-Leste | 1.03 | 2011 est. |
| 417 | Tanzania | 1.03 | 2011 est. |
| 418 | Uganda | 1.03 | 2011 est. |
| 419 | Burkina Faso | 1.03 | 2011 est. |
| 420 | Uruguay | 1.03 | 2011 est. |
