CIA - The World Factbook --  Imports - partners   

| Rank | country | (%) | Date of Information |
| 403 | Albania | 9.50 | 2012 |
| 404 | Egypt | 9.50 | 2012 |
| 405 | Mongolia | 9.40 | 2012 |
| 406 | Jordan | 9.40 | 2012 |
| 407 | Haiti | 9.40 | 2012 |
| 408 | Gabon | 9.40 | 2012 |
| 409 | China | 9.40 | 2013 est. |
| 410 | Ukraine | 9.30 | 2012 |
| 411 | New Zealand | 9.30 | 2012 |
| 412 | Norway | 9.30 | 2012 |
| 413 | Lithuania | 9.30 | 2013 est. |
| 414 | Latvia | 9.20 | 2012 |
| 415 | Iceland | 9.20 | 2012 |
| 416 | Niger | 9.20 | 2012 |
| 417 | Kuwait | 9.20 | 2013 est. |
| 418 | Venezuela | 9.10 | 2012 |
| 419 | Uruguay | 9.10 | 2012 |
| 420 | Romania | 9.10 | 2012 |
| 421 | Croatia | 9.10 | 2012 est. |
| 422 | Congo, Republic of the | 9.10 | 2012 |
| 423 | Central African Republic | 9.10 | 2012 |
| 424 | Central African Republic | 9.10 | 2012 |
| 425 | Burundi | 9.10 | 2012 |
| 426 | Turkey | 9.00 | 2012 |
| 427 | Kosovo | 9.00 | 2012 est. |
| 428 | Saint Lucia | 9.00 | 2012 |
| 429 | Estonia | 9.00 | 2012 |
| 430 | Turkey | 9.00 | 2012 |
| 431 | Armenia | 9.00 | 2012 est. |
| 432 | Armenia | 9.00 | 2012 est. |
| 433 | Cuba | 8.90 | 2012 |
| 434 | Rwanda | 8.90 | 2012 |
| 435 | Benin | 8.90 | 2012 |
| 436 | Hungary | 8.80 | 2012 |
| 437 | Japan | 8.80 | 2012 |
| 438 | Ecuador | 8.80 | 2012 |
| 439 | Sudan | 8.80 | 2012 |
| 440 | Sri Lanka | 8.80 | 2012 |
| 441 | Yemen | 8.80 | 2013 est. |
| 442 | Montenegro | 8.70 | 2012 est. |
| 443 | Faroe Islands | 8.70 | 2012 |
| 444 | Burma | 8.70 | 2012 |
| 445 | Burma | 8.70 | 2012 |
| 446 | Bahamas, The | 8.70 | 2012 |
| 447 | Afghanistan | 8.70 | 2012 |
| 448 | Moldova | 8.70 | 2012 est. |
| 449 | Mali | 8.70 | 2012 |
| 450 | Malawi | 8.70 | 2012 |
| 451 | Kuwait | 8.60 | 2013 est. |
| 452 | Lebanon | 8.60 | 2012 |
| 453 | Mali | 8.60 | 2012 |
| 454 | Qatar | 8.60 | 2013 est. |
| 455 | Macau | 8.60 | 2013 est. |
| 456 | Algeria | 8.60 | 2012 |
| 457 | Kazakhstan | 8.50 | 2012 |
| 458 | Mauritius | 8.50 | 2012 |
| 459 | Gambia, The | 8.50 | 2012 |
| 460 | Sweden | 8.50 | 2012 |
| 461 | Kosovo | 8.50 | 2012 est. |
| 462 | Honduras | 8.50 | 2012 |
| 463 | Oman | 8.50 | 2012 |
| 464 | Comoros | 8.50 | 2012 |
| 465 | Malawi | 8.50 | 2012 |
| 466 | Switzerland | 8.49 | 2013 est. |
| 467 | Sweden | 8.40 | 2012 |
| 468 | Netherlands | 8.40 | 2012 |
| 469 | Papua New Guinea | 8.40 | 2012 |
| 470 | Italy | 8.40 | 2013 est. |
| 471 | Italy | 8.40 | 2013 est. |
| 472 | Belize | 8.40 | 2012 |
| 473 | Ethiopia | 8.40 | 2012 |
| 474 | Cyprus | 8.30 | 2012 |
