CIA - The World Factbook --  Drinking water source   

| Rank | country | (% of population) | Date of Information |
| 328 | Saint Vincent and the Grenadines | 95.10 | 2012 est. |
| 329 | Saint Vincent and the Grenadines | 95.10 | 2012 est. |
| 330 | South Africa | 95.10 | 2012 est. |
| 331 | Vietnam | 95.00 | 2012 est. |
| 332 | El Salvador | 95.00 | 2012 est. |
| 333 | Uruguay | 94.90 | 2012 est. |
| 334 | Mexico | 94.90 | 2012 est. |
| 335 | Uganda | 94.80 | 2012 est. |
| 336 | Micronesia, Federated States of | 94.80 | 2012 est. |
| 337 | Burma | 94.80 | 2012 est. |
| 338 | Mongolia | 94.80 | 2012 est. |
| 339 | Malawi | 94.60 | 2012 est. |
| 340 | Anguilla | 94.60 | 2012 est. |
| 341 | Anguilla | 94.60 | 2012 est. |
| 342 | Marshall Islands | 94.50 | 2012 est. |
| 343 | Venezuela | 94.30 | 2007 est. |
| 344 | Panama | 94.30 | 2012 est. |
| 345 | Gambia, The | 94.20 | 2012 est. |
| 346 | Cameroon | 94.10 | 2012 est. |
| 347 | Cuba | 94.00 | 2012 est. |
| 348 | Cambodia | 93.90 | 2012 est. |
| 349 | Iraq | 93.90 | 2012 est. |
| 350 | Paraguay | 93.80 | 2012 est. |
| 351 | Albania | 93.80 | 2012 est. |
| 352 | Sri Lanka | 93.80 | 2012 est. |
| 353 | Guatemala | 93.80 | 2012 est. |
| 354 | Saint Lucia | 93.80 | 2012 est. |
| 355 | Moldova | 93.70 | 2012 est. |
| 356 | Puerto Rico | 93.60 | 2001 est. |
| 357 | Vietnam | 93.60 | 2012 est. |
| 358 | Sao Tome and Principe | 93.60 | 2012 est. |
| 359 | Puerto Rico | 93.60 | 2001 est. |
| 360 | Puerto Rico | 93.60 | 2001 est. |
| 361 | Swaziland | 93.60 | 2012 est. |
| 362 | Trinidad and Tobago | 93.60 | 2011 est. |
| 363 | Marshall Islands | 93.40 | 2012 est. |
| 364 | Solomon Islands | 93.20 | 2012 est. |
| 365 | Lesotho | 93.20 | 2012 est. |
| 366 | Kazakhstan | 93.10 | 2012 est. |
| 367 | Jamaica | 93.10 | 2012 est. |
| 368 | Trinidad and Tobago | 93.10 | 2011 est. |
| 369 | Oman | 93.00 | 2012 est. |
| 370 | Indonesia | 93.00 | 2012 est. |
| 371 | Tajikistan | 93.00 | 2012 est. |
| 372 | Sri Lanka | 92.90 | 2012 est. |
| 373 | Venezuela | 92.90 | 2007 est. |
| 374 | Saint Lucia | 92.80 | 2012 est. |
| 375 | Botswana | 92.80 | 2012 est. |
| 376 | India | 92.60 | 2012 est. |
| 377 | Ghana | 92.50 | 2012 est. |
| 378 | Senegal | 92.50 | 2012 est. |
| 379 | Philippines | 92.50 | 2012 est. |
| 380 | Syria | 92.30 | 2012 est. |
| 381 | Gabon | 92.20 | 2012 est. |
| 382 | Fiji | 92.20 | 2012 est. |
| 383 | Russia | 92.20 | 2012 est. |
| 384 | Guinea | 92.20 | 2012 est. |
| 385 | Djibouti | 92.10 | 2012 est. |
| 386 | China | 91.90 | 2012 est. |
| 387 | Philippines | 91.80 | 2012 est. |
| 388 | Iran | 91.70 | 2012 est. |
| 389 | Namibia | 91.70 | 2012 est. |
| 390 | Ecuador | 91.60 | 2012 est. |
| 391 | Burundi | 91.50 | 2012 est. |
| 392 | Cote d'Ivoire | 91.50 | 2012 est. |
| 393 | Pakistan | 91.40 | 2012 est. |
| 394 | Togo | 91.40 | 2012 est. |
| 395 | Chile | 91.30 | 2012 est. |
| 396 | Somalia | 91.20 | 2011 est. |
| 397 | Philippines | 91.20 | 2012 est. |
| 398 | Cabo Verde | 91.20 | 2012 est. |
| 399 | Colombia | 91.20 | 2012 est. |
| 400 | Peru | 91.20 | 2012 est. |
| 401 | Mali | 90.90 | 2012 est. |
| 402 | Costa Rica | 90.90 | 2012 est. |
| 403 | Mexico | 90.80 | 2012 est. |
| 404 | Vanuatu | 90.70 | 2012 est. |
| 405 | India | 90.70 | 2012 est. |
| 406 | Tunisia | 90.50 | 2012 est. |
| 407 | Jordan | 90.50 | 2012 est. |
| 408 | Nepal | 90.30 | 2012 est. |
| 409 | Gambia, The | 90.10 | 2012 est. |
| 410 | El Salvador | 90.10 | 2012 est. |
| 411 | Syria | 90.10 | 2012 est. |
| 412 | Afghanistan | 89.90 | 2012 est. |
| 413 | Honduras | 89.60 | 2012 est. |
| 414 | Central African Republic | 89.60 | 2012 est. |
| 415 | Cabo Verde | 89.30 | 2012 est. |
| 416 | Turkmenistan | 89.10 | 2012 est. |
| 417 | Pakistan | 89.00 | 2012 est. |
| 418 | Micronesia, Federated States of | 89.00 | 2012 est. |
| 419 | Lithuania | 88.90 | 2012 est. |
| 420 | Jamaica | 88.80 | 2012 est. |
| 421 | Guatemala | 88.60 | 2012 est. |
| 422 | Suriname | 88.40 | 2012 est. |
| 423 | Azerbaijan | 88.40 | 2012 est. |
| 424 | Vanuatu | 88.30 | 2012 est. |
| 425 | South Africa | 88.30 | 2012 est. |
| 426 | Nepal | 88.10 | 2012 est. |
| 427 | Bolivia | 88.10 | 2012 est. |
| 428 | Papua New Guinea | 88.00 | 2012 est. |
| 429 | Korea, South | 87.90 | 2012 est. |
| 430 | Romania | 87.70 | 2008 est. |
| 431 | Nepal | 87.60 | 2012 est. |
| 432 | Kyrgyzstan | 87.60 | 2012 est. |
| 433 | Namibia | 87.40 | 2012 est. |
| 434 | Micronesia, Federated States of | 87.40 | 2012 est. |
| 435 | Kiribati | 87.40 | 2012 est. |
| 436 | Cuba | 87.30 | 2012 est. |
| 437 | Uzbekistan | 87.30 | 2012 est. |
| 438 | Syria | 87.20 | 2012 est. |
| 439 | Ghana | 87.20 | 2012 est. |
| 440 | Sierra Leone | 87.10 | 2012 est. |
| 441 | Turks and Caicos Islands | 87.00 | 2007 est. |
| 442 | Turks and Caicos Islands | 87.00 | 2007 est. |
| 443 | Turks and Caicos Islands | 87.00 | 2007 est. |
| 444 | Peru | 86.80 | 2012 est. |
| 445 | Liberia | 86.80 | 2012 est. |
| 446 | Panama | 86.60 | 2012 est. |
| 447 | Ecuador | 86.40 | 2012 est. |
| 448 | Oman | 86.10 | 2012 est. |
| 449 | Palau | 86.00 | 2011 est. |
| 450 | Kazakhstan | 86.00 | 2012 est. |
| 451 | Cabo Verde | 86.00 | 2012 est. |
| 452 | Bangladesh | 85.80 | 2012 est. |
| 453 | Burma | 85.70 | 2012 est. |
| 454 | Algeria | 85.50 | 2012 est. |
| 455 | Iraq | 85.40 | 2012 est. |
| 456 | Brazil | 85.30 | 2012 est. |
| 457 | Nicaragua | 85.00 | 2012 est. |
| 458 | Malawi | 85.00 | 2012 est. |
| 459 | Indonesia | 84.90 | 2012 est. |
| 460 | China | 84.90 | 2012 est. |
| 461 | Bangladesh | 84.80 | 2012 est. |
| 462 | Zambia | 84.80 | 2012 est. |
| 463 | Mongolia | 84.60 | 2012 est. |
| 464 | Benin | 84.50 | 2012 est. |
| 465 | Bangladesh | 84.40 | 2012 est. |
| 466 | Gambia, The | 84.40 | 2012 est. |
| 467 | Algeria | 83.90 | 2012 est. |
| 468 | Laos | 83.70 | 2012 est. |
| 469 | Morocco | 83.60 | 2012 est. |
| 470 | Paraguay | 83.40 | 2012 est. |
| 471 | Malawi | 83.20 | 2012 est. |
| 472 | Dominican Republic | 82.50 | 2012 est. |
| 473 | Gaza Strip | 82.30 | 2012 est. |
| 474 | Kyrgyzstan | 82.30 | 2012 est. |
| 475 | West Bank | 82.30 | 2012 est. |
| 476 | Kenya | 82.30 | 2012 est. |
| 477 | Gaza Strip | 81.80 | 2012 est. |
| 478 | West Bank | 81.80 | 2012 est. |
| 479 | Burkina Faso | 81.70 | 2012 est. |
| 480 | West Bank | 81.60 | 2012 est. |
| 481 | Gaza Strip | 81.60 | 2012 est. |
| 482 | Honduras | 81.50 | 2012 est. |
| 483 | Lesotho | 81.30 | 2012 est. |
| 484 | Ghana | 81.30 | 2012 est. |
| 485 | Burma | 81.10 | 2012 est. |
| 486 | El Salvador | 81.00 | 2012 est. |
| 487 | Uzbekistan | 80.90 | 2012 est. |
| 488 | Dominican Republic | 80.90 | 2012 est. |
| 489 | Rwanda | 80.70 | 2012 est. |
| 490 | Solomon Islands | 80.50 | 2012 est. |
| 491 | Mozambique | 80.30 | 2012 est. |
| 492 | Azerbaijan | 80.20 | 2012 est. |
| 493 | Cote d'Ivoire | 80.20 | 2012 est. |
| 494 | Zimbabwe | 79.90 | 2012 est. |
| 495 | Algeria | 79.50 | 2012 est. |
| 496 | Congo, Democratic Republic of the | 79.10 | 2012 est. |
| 497 | Nigeria | 78.80 | 2012 est. |
| 498 | Madagascar | 78.20 | 2012 est. |
| 499 | Tanzania | 77.90 | 2012 est. |
| 500 | Solomon Islands | 77.20 | 2012 est. |
| 501 | Dominican Republic | 77.20 | 2012 est. |
| 502 | Lesotho | 76.70 | 2012 est. |
| 503 | Indonesia | 76.40 | 2012 est. |
| 504 | Benin | 76.10 | 2012 est. |
| 505 | Burkina Faso | 75.80 | 2012 est. |
| 506 | Romania | 75.60 | 2008 est. |
| 507 | Congo, Republic of the | 75.30 | 2012 est. |
| 508 | Burundi | 75.30 | 2012 est. |
| 509 | Venezuela | 75.30 | 2007 est. |
| 510 | Ecuador | 75.20 | 2012 est. |
| 511 | Guinea | 74.80 | 2012 est. |
| 512 | Uganda | 74.80 | 2012 est. |
| 513 | Liberia | 74.60 | 2012 est. |
| 514 | Haiti | 74.60 | 2012 est. |
| 515 | Swaziland | 74.10 | 2012 est. |
| 516 | Cameroon | 74.10 | 2012 est. |
| 517 | Senegal | 74.10 | 2012 est. |
| 518 | Eritrea | 73.70 | 2008 est. |
| 519 | Colombia | 73.60 | 2012 est. |
| 520 | Guinea-Bissau | 73.60 | 2012 est. |
| 521 | Burundi | 73.20 | 2012 est. |
| 522 | Yemen | 72.00 | 2012 est. |
| 523 | Bolivia | 71.90 | 2012 est. |
| 524 | Chad | 71.80 | 2012 est. |
| 525 | Tajikistan | 71.70 | 2012 est. |
| 526 | Peru | 71.60 | 2012 est. |
| 527 | Laos | 71.50 | 2012 est. |
| 528 | Cambodia | 71.30 | 2012 est. |
| 529 | Turkmenistan | 71.10 | 2012 est. |
| 530 | Congo, Democratic Republic of the | 71.00 | 2012 est. |
| 531 | Uganda | 71.00 | 2012 est. |
| 532 | Rwanda | 70.70 | 2012 est. |
| 533 | Azerbaijan | 70.70 | 2012 est. |
| 534 | Timor-Leste | 70.50 | 2012 est. |
| 535 | Somalia | 69.60 | 2011 est. |
| 536 | Benin | 69.10 | 2012 est. |
| 537 | Swaziland | 68.90 | 2012 est. |
| 538 | Zimbabwe | 68.70 | 2012 est. |
| 539 | Iraq | 68.50 | 2012 est. |
| 540 | Somalia | 68.30 | 2011 est. |
| 541 | Rwanda | 68.30 | 2012 est. |
| 542 | Central African Republic | 68.20 | 2012 est. |
| 543 | Cote d'Ivoire | 67.80 | 2012 est. |
| 544 | Nicaragua | 67.80 | 2012 est. |
| 545 | Angola | 67.60 | 2012 est. |
| 546 | Papua New Guinea | 67.20 | 2012 est. |
| 547 | Mali | 67.20 | 2012 est. |
| 548 | Kiribati | 66.80 | 2012 est. |
| 549 | Sudan | 66.00 | 2012 est. |
| 550 | Angola | 65.70 | 2012 est. |
| 551 | Cambodia | 65.60 | 2012 est. |
| 552 | Djibouti | 65.50 | 2012 est. |
