CIA - The World Factbook --  Dependency ratios   

| Rank | country | Dependency ratios | Date of Information |
| 258 | Seychelles | 42.80 | 2014 est. |
| 259 | Maldives | 42.70 | 2014 est. |
| 260 | Mexico | 42.70 | 2014 est. |
| 261 | Poland | 42.60 | 2014 est. |
| 262 | Barbados | 42.60 | 2014 est. |
| 263 | Burma | 42.50 | 2014 est. |
| 264 | French Polynesia | 42.50 | 2014 est. |
| 265 | Turkmenistan | 42.10 | 2014 est. |
| 266 | Japan | 42.10 | 2014 est. |
| 267 | Uzbekistan | 42.00 | 2014 est. |
| 268 | Ukraine | 42.00 | 2014 est. |
| 269 | Cuba | 41.90 | 2014 est. |
| 270 | Brunei | 41.80 | 2014 est. |
| 271 | Saudi Arabia | 41.80 | 2014 est. |
| 272 | Algeria | 41.60 | 2014 est. |
| 273 | Morocco | 41.60 | 2014 est. |
| 274 | Iran | 41.50 | 2014 est. |
| 275 | Belarus | 41.50 | 2014 est. |
| 276 | Cyprus | 41.40 | 2014 est. |
| 277 | Vietnam | 41.30 | 2014 est. |
| 278 | Russia | 41.30 | 2014 est. |
| 279 | Colombia | 41.20 | 2014 est. |
| 280 | Macedonia | 41.20 | 2014 est. |
| 281 | Western Sahara | 41.00 | 2014 est. |
| 282 | Bahamas, The | 40.90 | 2014 est. |
| 283 | Bhutan | 40.80 | 2014 est. |
| 284 | Suriname | 40.60 | 2014 est. |
| 285 | Lebanon | 40.60 | 2014 est. |
| 286 | Jamaica | 40.50 | 2014 est. |
| 287 | Grenada | 40.20 | 2014 est. |
| 288 | Mongolia | 39.90 | 2014 est. |
| 289 | Mauritius | 39.80 | 2014 est. |
| 290 | Slovakia | 39.60 | 2014 est. |
| 291 | Guam | 39.30 | 2014 est. |
| 292 | Moldova | 39.30 | 2014 est. |
| 293 | Kazakhstan | 38.70 | 2014 est. |
| 294 | Thailand | 38.60 | 2014 est. |
| 295 | Azerbaijan | 38.40 | 2014 est. |
| 296 | Sri Lanka | 38.10 | 2014 est. |
| 297 | Turkey | 37.70 | 2014 est. |
| 298 | China | 37.40 | 2014 est. |
| 299 | Malaysia | 37.40 | 2014 est. |
| 300 | Kuwait | 37.10 | 2014 est. |
| 301 | Western Sahara | 37.10 | 2014 est. |
| 302 | Korea, South | 37.10 | 2014 est. |
| 303 | Argentina | 37.00 | 2014 est. |
