CIA - The World Factbook --  Exchange rates   

This entry provides the average annual price of a country's monetary unit for the time period specified, expressed in units of local currency per US dollar, as determined by international market forces or by official fiat. The International Organization for Standardization (ISO) 4217 alphabetic currency code for the national medium of exchange is presented in parenthesis. Closing daily exchange rates are not presented in The World Factbook, but are used to convert stock values - e.g., the market value of publicly traded shares - to US dollars as of the specified date.

| Rank | country | Exchange rates | Date of Information |
| 406 | Uruguay | 20.94 | NA |
| 407 | Nicaragua | 20.34 | NA |
| 408 | Uruguay | 20.31 | NA |
| 409 | Uruguay | 20.06 | NA |
| 410 | Honduras | 19.64 | NA |
| 411 | Czech Republic | 19.58 | NA |
| 412 | Nicaragua | 19.37 | NA |
| 413 | Uruguay | 19.31 | NA |
| 414 | Czech Republic | 19.10 | NA |
| 415 | Czech Republic | 19.06 | NA |
| 416 | Honduras | 19.05 | NA |
| 417 | Honduras | 18.98 | NA |
| 418 | Honduras | 18.90 | NA |
| 419 | Honduras | 18.90 | NA |
| 420 | Ethiopia | 17.71 | NA |
| 421 | Czech Republic | 17.70 | NA |
| 422 | Czech Republic | 17.06 | NA |
| 423 | Ethiopia | 16.90 | NA |
| 424 | Maldives | 15.39 | NA |
| 425 | Eritrea | 15.38 | NA |
| 426 | Eritrea | 15.38 | NA |
| 427 | Eritrea | 15.38 | NA |
| 428 | Eritrea | 15.38 | NA |
| 429 | Eritrea | 15.38 | NA |
| 430 | Maldives | 14.60 | NA |
| 431 | Ethiopia | 14.41 | NA |
| 432 | Seychelles | 13.70 | NA |
| 433 | Seychelles | 13.61 | NA |
| 434 | Mexico | 13.51 | NA |
| 435 | Mexico | 13.17 | NA |
| 436 | Maldives | 12.80 | NA |
| 437 | Maldives | 12.80 | NA |
| 438 | Mexico | 12.64 | NA |
| 439 | Mexico | 12.42 | NA |
| 440 | Seychelles | 12.38 | NA |
| 441 | Moldova | 12.37 | NA |
| 442 | Moldova | 12.19 | NA |
| 443 | Seychelles | 12.07 | NA |
| 444 | Estonia | 11.81 | NA |
| 445 | Moldova | 11.79 | NA |
| 446 | Ethiopia | 11.78 | NA |
| 447 | Estonia | 11.23 | NA |
| 448 | Syria | 11.23 | NA |
| 449 | Moldova | 11.11 | NA |
| 450 | Mexico | 11.02 | NA |
| 451 | Estonia | 10.70 | NA |
| 452 | Moldova | 10.33 | NA |
| 453 | Ethiopia | 9.57 | NA |
| 454 | Western Sahara | 8.60 | NA |
| 455 | Morocco | 8.60 | NA |
| 456 | Lesotho | 8.47 | NA |
| 457 | Swaziland | 8.42 | NA |
| 458 | South Africa | 8.42 | NA |
| 459 | Namibia | 8.42 | NA |
| 460 | Morocco | 8.42 | NA |
| 461 | Western Sahara | 8.42 | NA |
| 462 | South Africa | 8.20 | NA |
| 463 | Swaziland | 8.20 | NA |
| 464 | Namibia | 8.20 | NA |
| 465 | Lesotho | 8.20 | NA |
| 466 | Guatemala | 8.16 | NA |
| 467 | Morocco | 8.07 | NA |
| 468 | Western Sahara | 8.07 | NA |
| 469 | Solomon Islands | 8.06 | NA |
| 470 | Guatemala | 8.06 | NA |
| 471 | Western Sahara | 8.06 | NA |
| 472 | Morocco | 8.06 | NA |
| 473 | Macau | 8.02 | NA |
| 474 | Macau | 8.01 | NA |
| 475 | Macau | 8.00 | NA |
| 476 | Seychelles | 8.00 | NA |
| 477 | Ukraine | 7.99 | NA |
| 478 | Macau | 7.99 | NA |
| 479 | Macau | 7.98 | NA |
| 480 | Ukraine | 7.97 | NA |
| 481 | South Africa | 7.96 | NA |
| 482 | Ukraine | 7.94 | NA |
| 483 | Guatemala | 7.83 | NA |
| 484 | Ukraine | 7.79 | NA |
| 485 | Guatemala | 7.79 | NA |
| 486 | Hong Kong | 7.78 | NA |
| 487 | Hong Kong | 7.77 | NA |
| 488 | Hong Kong | 7.76 | NA |
| 489 | Hong Kong | 7.75 | NA |
| 490 | Namibia | 7.75 | NA |
| 491 | Swaziland | 7.75 | NA |
| 492 | Hong Kong | 7.75 | NA |
| 493 | Lesotho | 7.75 | NA |
| 494 | Sweden | 7.65 | NA |
| 495 | Solomon Islands | 7.64 | NA |
| 496 | Botswana | 7.62 | NA |
| 497 | Guatemala | 7.59 | NA |
| 498 | Western Sahara | 7.53 | NA |
| 499 | Morocco | 7.53 | NA |
| 500 | Solomon Islands | 7.36 | NA |
| 501 | Namibia | 7.32 | NA |
| 502 | South Africa | 7.32 | NA |
| 503 | Swaziland | 7.32 | NA |
| 504 | Lesotho | 7.32 | NA |
| 505 | Lesotho | 7.26 | NA |
| 506 | South Africa | 7.26 | NA |
| 507 | Namibia | 7.26 | NA |
| 508 | Swaziland | 7.26 | NA |
| 509 | Bolivia | 7.25 | NA |
| 510 | Sweden | 7.21 | NA |
| 511 | Botswana | 7.16 | NA |
| 512 | Bolivia | 7.07 | NA |
| 513 | Bolivia | 7.02 | NA |
| 514 | Bolivia | 6.99 | NA |
| 515 | Bolivia | 6.96 | NA |
| 516 | China | 6.94 | NA |
| 517 | Botswana | 6.84 | NA |
| 518 | China | 6.83 | NA |
| 519 | Botswana | 6.79 | NA |
| 520 | Botswana | 6.79 | NA |
| 521 | China | 6.77 | NA |
| 522 | Sweden | 6.77 | NA |
| 523 | Sweden | 6.49 | NA |
| 524 | China | 6.46 | NA |
| 525 | Trinidad and Tobago | 6.41 | NA |
| 526 | Sweden | 6.41 | NA |
| 527 | Trinidad and Tobago | 6.39 | NA |
| 528 | Trinidad and Tobago | 6.38 | NA |
| 529 | China | 6.31 | NA |
| 530 | Trinidad and Tobago | 6.31 | NA |
| 531 | Trinidad and Tobago | 6.29 | NA |
| 532 | Norway | 6.29 | NA |
| 533 | Svalbard | 6.29 | NA |
| 534 | Egypt | 6.06 | NA |
| 535 | Svalbard | 6.04 | NA |
| 536 | Norway | 6.04 | NA |
| 537 | Egypt | 5.94 | NA |
| 538 | Croatia | 5.85 | NA |
| 539 | Svalbard | 5.82 | NA |
| 540 | Norway | 5.82 | NA |
| 541 | Greenland | 5.79 | NA |
| 542 | Denmark | 5.79 | NA |
| 543 | Faroe Islands | 5.79 | NA |
| 544 | Norway | 5.64 | NA |
| 545 | Svalbard | 5.64 | NA |
| 546 | Faroe Islands | 5.62 | NA |
| 547 | Greenland | 5.62 | NA |
| 548 | Denmark | 5.62 | NA |
| 549 | Greenland | 5.62 | NA |
| 550 | Faroe Islands | 5.62 | NA |
| 551 | Egypt | 5.62 | NA |
| 552 | Svalbard | 5.61 | NA |
| 553 | Norway | 5.61 | NA |
| 554 | Burma | 5.58 | NA |
| 555 | Egypt | 5.55 | NA |
| 556 | Croatia | 5.50 | NA |
| 557 | Egypt | 5.40 | NA |
| 558 | Denmark | 5.37 | NA |
| 559 | Denmark | 5.36 | NA |
| 560 | Faroe Islands | 5.36 | NA |
| 561 | Greenland | 5.36 | NA |
| 562 | Croatia | 5.34 | NA |
| 563 | Croatia | 5.27 | NA |
| 564 | Zambia | 5.10 | NA |
| 565 | Denmark | 5.02 | NA |
| 566 | Greenland | 5.02 | NA |
| 567 | Faroe Islands | 5.02 | NA |
| 568 | Croatia | 4.98 | NA |
| 569 | Ukraine | 4.95 | NA |
| 570 | Zambia | 4.90 | NA |
| 571 | Tajikistan | 4.74 | NA |
| 572 | Tajikistan | 4.61 | NA |
| 573 | Argentina | 4.54 | NA |
| 574 | Tajikistan | 4.38 | NA |
| 575 | Venezuela | 4.29 | NA |
| 576 | Venezuela | 4.29 | NA |
| 577 | Tajikistan | 4.14 | NA |
| 578 | Argentina | 4.11 | NA |
| 579 | Gaza Strip | 3.93 | NA |
| 580 | West Bank | 3.93 | NA |
| 581 | Israel | 3.93 | NA |
| 582 | Argentina | 3.90 | NA |
| 583 | Gaza Strip | 3.86 | NA |
| 584 | Israel | 3.86 | NA |
| 585 | West Bank | 3.86 | NA |
| 586 | Saudi Arabia | 3.75 | NA |
| 587 | Saudi Arabia | 3.75 | NA |
| 588 | Saudi Arabia | 3.75 | NA |
| 589 | Saudi Arabia | 3.75 | NA |
| 590 | Saudi Arabia | 3.75 | NA |
| 591 | Gaza Strip | 3.74 | NA |
| 592 | Israel | 3.74 | NA |
| 593 | West Bank | 3.73 | NA |
| 594 | Argentina | 3.71 | NA |
| 595 | United Arab Emirates | 3.67 | NA |
| 596 | United Arab Emirates | 3.67 | NA |
| 597 | United Arab Emirates | 3.67 | NA |
| 598 | United Arab Emirates | 3.67 | NA |
| 599 | United Arab Emirates | 3.67 | NA |
| 600 | Qatar | 3.64 | NA |
| 601 | Qatar | 3.64 | NA |
| 602 | Qatar | 3.64 | NA |
| 603 | Qatar | 3.64 | NA |
| 604 | Qatar | 3.64 | NA |
| 605 | West Bank | 3.59 | NA |
| 606 | Israel | 3.59 | NA |
| 607 | Gaza Strip | 3.58 | NA |
| 608 | Israel | 3.58 | NA |
| 609 | West Bank | 3.58 | NA |
| 610 | Sudan | 3.57 | NA |
| 611 | Gaza Strip | 3.56 | NA |
| 612 | Malaysia | 3.52 | NA |
| 613 | Romania | 3.47 | NA |
| 614 | Tajikistan | 3.46 | NA |
| 615 | Malaysia | 3.33 | NA |
| 616 | Suriname | 3.30 | NA |
| 617 | Suriname | 3.27 | NA |
