CIA - The World Factbook -- Field Listing - Environment - international agreements

| Country | Environment - international agreements |
| **Kyrgyzstan** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Laos** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Latvia** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Lebanon** | *party to:* Biodiversity, Climate Change, Desertification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Environmental Modification, Marine Life Conservation |
| **Lesotho** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection |
| | *signed, but not ratified:* Law of the Sea |
| **Liberia** | *party to:* Biodiversity, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94 |
| | *signed, but not ratified:* Climate Change, Environmental Modification, Law of the Sea, Marine Life Conservation |
| **Libya** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Ozone Layer Protection |
| | *signed, but not ratified:* Law of the Sea |
| **Liechtenstein** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Climate Change-Kyoto Protocol, Law of the Sea |
| **Lithuania** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Luxembourg** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Environmental Modification |
| **Macedonia** | *party to:* Air Pollution, Biodiversity, Climate Change, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Madagascar** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Life Conservation, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Malawi** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Malaysia** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| **Maldives** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Hazardous Wastes, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Mali** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Malta** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Marshall Islands** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Mauritania** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Mauritius** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Mexico** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Micronesia, Federated States of** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Moldova** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Monaco** | *party to:* Air Pollution, Air Pollution-Volatile Organic Compounds, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **Mongolia** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Morocco** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| | *signed, but not ratified:* Environmental Modification, Law of the Sea |
| **Mozambique** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Namibia** | *party to:* Antarctic-Marine Living Resources, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Nauru** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Nepal** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Marine Life Conservation |
| **Netherlands** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Kyoto Protocol, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| **New Zealand** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Antarctic Seals, Marine Life Conservation |
| **Nicaragua** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Environmental Modification |
| **Niger** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol, Law of the Sea |
| **Nigeria** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Niue** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification |
| | *signed, but not ratified:* Law of the Sea |
| **Norway** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Oman** | *party to:* Biodiversity, Climate Change, Desertification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Pakistan** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Marine Life Conservation |
| **Palau** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Panama** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Marine Life Conservation |
| **Papua New Guinea** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Paraguay** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Peru** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Philippines** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Poland** | *party to:* Air Pollution, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Kyoto Protocol, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 94 |
| **Portugal** | *party to:* Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Air Pollution-Volatile Organic Compounds, Environmental Modification |
| **Qatar** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Romania** | *party to:* Air Pollution, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Russia** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Sulfur 94, Climate Change-Kyoto Protocol |
| **Rwanda** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection |
| | *signed, but not ratified:* Law of the Sea |
| **Saint Kitts and Nevis** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Saint Lucia** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Saint Vincent and the Grenadines** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Whaling |
| | *signed, but not ratified:* Climate Change-Kyoto Protocol |
| **Samoa** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **San Marino** | *party to:* Biodiversity, Climate Change, Desertification |
| | *signed, but not ratified:* Air Pollution |
| **Sao Tome and Principe** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Law of the Sea, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Saudi Arabia** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Senegal** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| **Serbia and Montenegro** | *party to:* Air Pollution, Biodiversity, Climate Change, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Seychelles** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Sierra Leone** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Environmental Modification |
| **Singapore** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Slovakia** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Slovenia** | *party to:* Air Pollution, Air Pollution-Sulfur 94, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Solomon Islands** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Environmental Modification, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Somalia** | *party to:* Endangered Species, Law of the Sea, Ozone Layer Protection |
| **South Africa** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Southern Ocean** | *the Southern Ocean is subject to all international agreements regarding the world's oceans; in addition, it is subject to these agreements specific to the Antarctic region:* International Whaling Commission (prohibits commercial whaling south of 40 degrees south [south of 60 degrees south between 50 degrees and 130 degrees west]); Convention on the Conservation of Antarctic Seals (limits sealing); Convention on the Conservation of Antarctic Marine Living Resources (regulates fishing) |
| | *note:* many nations (including the US) prohibit mineral resource exploration and exploitation south of the fluctuating Polar Front (Antarctic Convergence) which is in the middle of the Antarctic Circumpolar Current and serves as the dividing line between the very cold polar surface waters to the south and the warmer waters to the north |
| **Spain** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **Sri Lanka** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Marine Life Conservation |
| **Sudan** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Suriname** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Swaziland** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Ozone Layer Protection |
| | *signed, but not ratified:* Law of the Sea |
| **Sweden** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* none of the selected agreements |
| **Switzerland** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 85, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Law of the Sea |
| **Syria** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Environmental Modification |
| **Taiwan** | *party to:* none of the selected agreements because of Taiwan's international status |
| | *signed, but not ratified:* none of the selected agreements because of Taiwan's international status |
| **Tajikistan** | *party to:* Biodiversity, Climate Change, Desertification, Environmental Modification, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Tanzania** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Thailand** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Law of the Sea |
| **Togo** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Tonga** | *party to:* Biodiversity, Climate Change, Desertification, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Trinidad and Tobago** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Tunisia** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Marine Life Conservation |
| **Turkey** | *party to:* Air Pollution, Antarctic Treaty, Biodiversity, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Environmental Modification |
| **Turkmenistan** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Tuvalu** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Law of the Sea, Ozone Layer Protection, Ship Pollution |
| | *signed, but not ratified:* none of the selected agreements |
| **Uganda** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Life Conservation, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* Environmental Modification |
| **Ukraine** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds |
| **United Arab Emirates** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Ozone Layer Protection |
| | *signed, but not ratified:* Law of the Sea |
| **United Kingdom** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants |
| **United States** | *party to:* Air Pollution, Air Pollution-Nitrogen Oxides, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Climate Change, Desertification, Endangered Species, Environmental Modification, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| | *signed, but not ratified:* Air Pollution-Persistent Organic Pollutants, Air Pollution-Volatile Organic Compounds, Biodiversity, Climate Change-Kyoto Protocol, Hazardous Wastes |
| **Uruguay** | *party to:* Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 94, Wetlands |
| | *signed, but not ratified:* Marine Dumping, Marine Life Conservation |
| **Uzbekistan** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Ozone Layer Protection, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Vanuatu** | *party to:* Antarctic-Marine Living Resources, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 94 |
| | *signed, but not ratified:* none of the selected agreements |
| **Venezuela** | *party to:* Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| **Vietnam** | *party to:* Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| | *signed, but not ratified:* none of the selected agreements |
| **Western Sahara** | *party to:* none of the selected agreements |
| | *signed, but not ratified:* none of the selected agreements |
| **Yemen** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection |
| | *signed, but not ratified:* none of the selected agreements |
| **Zambia** | *party to:* Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Wetlands |
