Field Listing :: Crude oil - imports :: The World Factbook - Central Intelligence Agency

This entry is the total amount of crude oil imported, in barrels per day (bbl/day).

| Country | Crude oil - imports |
| **United Kingdom** | 907,100 bbl/day (2017 est.) |
| **United States** | 7.969 million bbl/day (2017 est.) |
| **Uruguay** | 40,200 bbl/day (2015 est.) |
| **Uzbekistan** | 420 bbl/day (2015 est.) |
| **Vanuatu** | 0 bbl/day (2015 est.) |
| **Venezuela** | 0 bbl/day (2015 est.) |
| **Vietnam** | 0 bbl/day (2015 est.) |
| **Virgin Islands** | 0 bbl/day (2015 est.) |
| **West Bank** | 0 bbl/day (2015 est.) |
| **Western Sahara** | 0 bbl/day (2015 est.) |
| **World** | 44.58 million bbl/day (2014 est.) |
| **Yemen** | 0 bbl/day (2015 est.) |
| **Zambia** | 12,860 bbl/day (2015 est.) |
| **Zimbabwe** | 0 bbl/day (2015 est.) |

