CIA - The World Factbook 2000 -- Merchant marine

| Country | Merchant marine |
| | *ships by type:* cargo 10, chemical tanker 1, petroleum tanker 6 (1999 est.) |
| **Germany** | *total:* 475 ships (1,000 GRT or over) totaling 6,395,990 GRT/8,014,132 DWT |
| | *ships by type:* bulk 2, cargo 181, chemical tanker 12, container 239, liquified gas 2, multi-functional large load carrier 5, passenger 2, petroleum tanker 8, rail car carrier 2, refrigerated cargo 2, roll-on/roll-off 13, short-sea passenger 7 (1999 est.) |
| **Ghana** | *total:* 6 ships (1,000 GRT or over) totaling 13,484 GRT/18,583 DWT |
| | *ships by type:* petroleum tanker 2, refrigerated cargo 4 (1999 est.) |
| **Gibraltar** | *total:* 26 ships (1,000 GRT or over) totaling 477,183 GRT/752,644 DWT |
| | *ships by type:* bulk 1, cargo 2, chemical tanker 2, container 4, multi-functional large load carrier 1, passenger 1, petroleum tanker 13, roll-on/roll-off 2 (1999 est.) |
| **Greece** | *total:* 779 ships (1,000 GRT or over) totaling 24,744,872 GRT/43,734,138 DWT |
| | *ships by type:* bulk 273, cargo 60, chemical tanker 22, combination bulk 5, combination ore/oil 8, container 43, liquified gas 5, multi-functional large load carrier 1, passenger 12, passenger/cargo 2, petroleum tanker 245, refrigerated cargo 3, roll-on/roll-off 19, short-sea passenger 75, specialized tanker 4, vehicle carrier 2 (1999 est.) |
| **Grenada** | none (1999 est.) |
| **Guadeloupe** | *total:* 1 ship (1,000 GRT or over) totaling 1,240 GRT/109 DWT |
| | *ships by type:* passenger 1 (1999 est.) |
| **Guam** | none (1999 est.) |
| **Guatemala** | none (1999 est.) |
| **Guernsey** | none (1999 est.) |
| **Guinea** | none (1999 est.) |
| **Guinea-Bissau** | none (1999 est.) |
| **Guyana** | *total:* 1 ship (1,000 GRT or over) totaling 1,023 GRT/1,972 DWT |
| | *ships by type:* cargo 1 (1999 est.) |
| **Haiti** | none (1999 est.) |
| **Honduras** | *total:* 306 ships (1,000 GRT or over) totaling 848,150 GRT/980,995 DWT |
| | *ships by type:* bulk 26, cargo 187, chemical tanker 5, container 7, livestock carrier 1, passenger 2, passenger/cargo 4, petroleum tanker 43, refrigerated cargo 15, roll-on/roll-off 9, short-sea passenger 5, vehicle carrier 2 (1999 est.) |
| | *note:* a flag of convenience registry; Russia owns 6 ships, Vietnam 1, Singapore 3, North Korea 1 (1998 est.) |
| **Hong Kong** | *total:* 271 ships (1,000 GRT or over) totaling 7,942,646 GRT/13,101,275 DWT |
| | *ships by type:* barge carrier 1, bulk 157, cargo 28, chemical tanker 5, combination bulk 2, container 53, liquified gas 5, multi-functional large load carrier 2, petroleum tanker 14, short-sea passenger 1, vehicle carrier 3 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships from 13 countries among which are UK 16, South Africa 3, China 9, Japan 6, Bermuda 2, Germany 3, Canada 2, Cyprus 1, Belgium 1, and Norway 1 (1998 est.) |
| **Hungary** | *total:* 2 ships (1,000 GRT or over) totaling 12,949 GRT/14,550 DWT |
| | *ships by type:* cargo 2 (1999 est.) |
| **Iceland** | *total:* 3 ships (1,000 GRT or over) totaling 13,085 GRT/16,938 DWT |
| | *ships by type:* chemical tanker 1, container 1, petroleum tanker 1 (1999 est.) |
| **India** | *total:* 321 ships (1,000 GRT or over) totaling 6,647,268 GRT/11,074,025 DWT |
| | *ships by type:* bulk 124, cargo 69, chemical tanker 14, combination bulk 1, combination ore/oil 4, container 15, liquified gas 10, passenger/cargo 5, petroleum tanker 75, short-sea passenger 2, specialized tanker 2 (1999 est.) |
| **Indonesia** | *total:* 586 ships (1,000 GRT or over) totaling 2,676,875 GRT/3,700,864 DWT |
| | *ships by type:* bulk 38, cargo 346, chemical tanker 9, container 19, liquified gas 5, livestock carrier 1, passenger 7, passenger/cargo 13, petroleum tanker 114, refrigerated cargo 1, roll-on/roll-off 11, short-sea passenger 8, specialized tanker 9, vehicle carrier 5 (1999 est.) |
| **Iran** | *total:* 138 ships (1,000 GRT or over) totaling 3,517,751 GRT/6,208,230 DWT |
| | *ships by type:* bulk 45, cargo 36, chemical tanker 4, combination bulk 1, container 7, liquified gas 1, multi-functional large load carrier 6, petroleum tanker 26, refrigerated cargo 2, roll-on/roll-off 9, short-sea passenger 1 (1999 est.) |
| **Iraq** | *total:* 32 ships (1,000 GRT or over) totaling 606,227 GRT/1,067,770 DWT |
| | *ships by type:* cargo 14, passenger 1, passenger/cargo 1, petroleum tanker 13, refrigerated cargo 1, roll-on/roll-off 2 (1999 est.) |
| **Ireland** | *total:* 31 ships (1,000 GRT or over) totaling 100,639 GRT/115,793 DWT |
| | *ships by type:* bulk 1, cargo 27, container 2, short-sea passenger 1 (1999 est.) |
| **Israel** | *total:* 20 ships (1,000 GRT or over) totaling 711,831 GRT/823,929 DWT |
| | *ships by type:* container 19, roll-on/roll-off 1 (1999 est.) |
| **Italy** | *total:* 427 ships (1,000 GRT or over) totaling 6,971,578 GRT/9,635,770 DWT |
| | *ships by type:* bulk 41, cargo 45, chemical tanker 73, combination ore/oil 2, container 20, liquified gas 38, livestock carrier 1, multi-functional large load carrier 1, passenger 6, petroleum tanker 87, roll-on/roll-off 58, short-sea passenger 26, specialized tanker 13, vehicle carrier 16 (1999 est.) |
| **Jamaica** | *total:* 1 ship (1,000 GRT or over) totaling 1,930 GRT/3,065 DWT |
| | *ships by type:* petroleum tanker 1 (1999 est.) |
| **Japan** | *total:* 662 ships (1,000 GRT or over) totaling 13,039,488 GRT/18,024,969 DWT |
| | *ships by type:* bulk 146, cargo 49, chemical tanker 13, combination bulk 16, combination ore/oil 4, container 25, liquified gas 45, passenger 9, passenger/cargo 2, petroleum tanker 214, refrigerated cargo 22, roll-on/roll-off 48, short-sea passenger 9, vehicle carrier 60 (1999 est.) |
| **Jersey** | none (1999 est.) |
| **Jordan** | *total:* 7 ships (1,000 GRT or over) totaling 42,746 GRT/59,100 DWT |
| | *ships by type:* bulk 2, cargo 2, container 1, livestock carrier 1, roll-on/roll-off 1 (1999 est.) |
| **Kenya** | *total:* 2 ships (1,000 GRT or over) totaling 4,893 GRT/6,255 DWT |
| | *ships by type:* petroleum tanker 1, roll-on/roll-off 1 (1999 est.) |
| **Kiribati** | *total:* 1 ship (1,000 GRT or over) totaling 1,291 GRT/1,295 DWT |
| | *ships by type:* passenger/cargo 1 (1999 est.) |
| **Korea, North** | *total:* 107 ships (1,000 GRT or over) totaling 675,609 GRT/937,477 DWT |
| | *ships by type:* bulk 5, cargo 91, combination bulk 1, multi-functional large load carrier 1, passenger 2, passenger/cargo 1, petroleum tanker 4, short-sea passenger 2 (1999 est.) |
| **Korea, South** | *total:* 461 ships (1,000 GRT or over) totaling 5,093,620 GRT/8,100,634 DWT |
| | *ships by type:* bulk 98, cargo 149, chemical tanker 39, combination bulk 4, container 53, liquified gas 13, multi-functional large load carrier 1, passenger 3, petroleum tanker 61, refrigerated cargo 26, roll-on/roll-off 4, specialized tanker 4, vehicle carrier 6 (1999 est.) |
| **Kuwait** | *total:* 48 ships (1,000 GRT or over) totaling 2,506,448 GRT/4,040,921 DWT |
| | *ships by type:* bulk 1, cargo 9, container 6, liquified gas 7, livestock carrier 4, petroleum tanker 21 (1999 est.) |
| **Laos** | *total:* 1 ship (1,000 GRT or over) totaling 2,370 GRT/3,000 DWT |
| | *ships by type:* cargo 1 (1999 est.) |
| **Latvia** | *total:* 14 ships (1,000 GRT or over) totaling 58,699 GRT/64,043 DWT |
| | *ships by type:* cargo 4, petroleum tanker 4, refrigerated cargo 6 (1999 est.) |
| **Lebanon** | *total:* 68 ships (1,000 GRT or over) totaling 346,029 GRT/536,861 DWT |
| | *ships by type:* bulk 8, cargo 44, chemical tanker 1, combination bulk 1, combination ore/oil 1, container 4, livestock carrier 4, roll-on/roll-off 2, vehicle carrier 3 (1999 est.) |
| **Liberia** | *total:* 1,593 ships (1,000 GRT or over) totaling 54,513,479 GRT/85,495,576 DWT |
| | *ships by type:* barge carrier 3, bulk 360, cargo 109, chemical tanker 185, combination bulk 22, combination ore/oil 50, container 225, liquified gas 91, multi-functional large load carrier 1, passenger 40, petroleum tanker 351, refrigerated cargo 76, roll-on/roll-off 16, short-sea passenger 3, specialized tanker 15, vehicle carrier 46 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships from 54 countries among which are Germany 186, US 161, Norway 142, Greece 144, Japan 124, Hong Kong 100, China 53, UK 32, Singapore 39, and Monaco 38 (1998 est.) |
| **Libya** | *total:* 27 ships (1,000 GRT or over) totaling 401,303 GRT/656,632 DWT |
| | *ships by type:* cargo 9, chemical tanker 1, liquified gas 3, petroleum tanker 6, roll-on/roll-off 4, short-sea passenger 4 (1999 est.) |
| **Lithuania** | *total:* 52 ships (1,000 GRT or over) totaling 316,319 GRT/351,700 DWT |
| | *ships by type:* cargo 23, combination bulk 11, petroleum tanker 2, rail car carrier 1, refrigerated cargo 11, roll-on/roll-off 1, short-sea passenger 3 (1999 est.) |
| **Luxembourg** | *total:* 48 ships (1,000 GRT or over) totaling 1,283,738 GRT/1,872,071 DWT |
| | *ships by type:* bulk 2, chemical tanker 10, container 1, liquified gas 18, passenger 4, petroleum tanker 6, roll-on/roll-off 7 (1999 est.) |
| **Macau** | none (1999 est.) |
| **Madagascar** | *total:* 13 ships (1,000 GRT or over) totaling 24,819 GRT/34,173 DWT |
| | *ships by type:* cargo 7, chemical tanker 1, liquified gas 1, petroleum tanker 2, roll-on/roll-off 2 (1999 est.) |
| **Malaysia** | *total:* 361 ships (1,000 GRT or over) totaling 5,000,706 GRT/7,393,915 DWT |
| | *ships by type:* bulk 61, cargo 119, chemical tanker 34, container 55, liquified gas 19, livestock carrier 1, passenger 2, petroleum tanker 57, refrigerated cargo 1, roll-on/roll-off 6, specialized tanker 1, vehicle carrier 5 (1999 est.) |
| **Maldives** | *total:* 20 ships (1,000 GRT or over) totaling 69,599 GRT/105,599 DWT |
| | *ships by type:* cargo 17, container 1, petroleum tanker 1, short-sea passenger 1 (1999 est.) |
| **Malta** | *total:* 1,484 ships (1,000 GRT or over) totaling 28,083,952 GRT/46,772,146 DWT |
