CIA - The World Factbook -- Field Listing - Merchant marine

| Country | Merchant marine |
| | *registered in other countries:* 49 (Bolivia 2, Cambodia 8, Georgia 8, Honduras 4, North Korea 2, Panama 16, Saint Vincent and the Grenadines 3, Sao Tome and Principe 1, Saudi Arabia 2, Sierra Leone 1, Thailand 1, unknown 1) (2006) |
| **Equatorial Guinea** | *total:* 1 ship (1000 GRT or over) 1,745 GRT/3,434 DWT |
| | *by type:* cargo 1 (2006) |
| **Eritrea** | *total:* 6 ships (1000 GRT or over) 19,506 GRT/23,649 DWT |
| | *by type:* cargo 3, liquefied gas 1, petroleum tanker 1, roll on/roll off 1 (2006) |
| **Estonia** | *total:* 35 ships (1000 GRT or over) 388,723 GRT/98,393 DWT |
| | *by type:* cargo 7, passenger/cargo 26, petroleum tanker 2 |
| | *foreign-owned:* 4 (Denmark 2, Norway 2) |
| | *registered in other countries:* 72 (Antigua and Barbuda 12, Bahamas 1, Belize 3, Cyprus 6, Dominica 11, Isle of Man 2, Liberia 1, Malta 4, Norway 1, Panama 3, Russia 1, Saint Vincent and the Grenadines 25, Slovakia 1, Vanuatu 1) (2006) |
| **Ethiopia** | *total:* 8 ships (1000 GRT or over) 79,441 GRT/97,669 DWT |
| | *by type:* cargo 6, roll on/roll off 2 (2006) |
| **Faroe Islands** | *total:* 18 ships (1000 GRT or over) 19,265 GRT/9,171 DWT |
| | *by type:* cargo 10, container 2, passenger/cargo 4, petroleum tanker 2 |
| | *foreign-owned:* 8 (Iceland 4, Norway 4) (2006) |
| **Fiji** | *total:* 7 ships (1000 GRT or over) 15,867 GRT/8,432 DWT |
| | *by type:* passenger 3, passenger/cargo 2, roll on/roll off 2 |
| | *foreign-owned:* 1 (Australia 1) (2006) |
| **Finland** | *total:* 87 ships (1000 GRT or over) 1,250,600 GRT/952,072 DWT |
| | *by type:* bulk carrier 4, cargo 22, chemical tanker 6, container 1, passenger 5, passenger/cargo 20, petroleum tanker 4, roll on/roll off 25 |
| | *foreign-owned:* 3 (Norway 1, Russia 1, UK 1) |
| | *registered in other countries:* 48 (Bahamas 8, Germany 2, Gibraltar 3, Luxembourg 4, Marshall Islands 2, Netherlands 13, Norway 4, Sweden 11, UK 1) (2006) |
| **France** | *total:* 61 ships (1000 GRT or over) 875,777 GRT/1,318,605 DWT |
| | *by type:* cargo 1, chemical tanker 3, container 5, liquefied gas 6, passenger 3, passenger/cargo 32, petroleum tanker 10, roll on/roll off 1 |
| | *foreign-owned:* 13 (Denmark 1, Hong Kong 1, Italy 2, Monaco 1, Norway 1, NZ 1, Singapore 2, Sweden 2, Switzerland 2) |
| | *registered in other countries:* 154 (Antigua and Barbuda 1, Australia 3, Bahamas 37, Bermuda 1, Cameroon 1, French Polynesia 1, French Southern and Antarctic Lands 36, Gibraltar 1, Indonesia 1, Isle of Man 2, Italy 1, South Korea 12, Liberia 3, Luxembourg 14, Malta 6, Mexico 1, Morocco 1, Panama 15, Saint Vincent and the Grenadines 8, UK 4, Wallis and Futuna 5) (2006) |
| **French Polynesia** | *total:* 13 ships (1000 GRT or over) 23,684 GRT/17,291 DWT |
| | *by type:* cargo 4, passenger 2, passenger/cargo 5, refrigerated cargo 1, roll on/roll off 1 |
| | *foreign-owned:* 1 (France 1) |
| | *registered in other countries:* 2 (Wallis and Futuna 2) (2006) |
| **French Southern and Antarctic Lands** | *total:* 77 ships (1000 GRT or over) 3,432,833 GRT/5,345,291 DWT |
| | *by type:* bulk carrier 2, chemical tanker 27, container 18, liquefied gas 5, petroleum tanker 15, roll on/roll off 6, vehicle carrier 4 |
| | *foreign-owned:* 76 (Belgium 6, Denmark 2, France 36, Germany 2, Hong Kong 2, Japan 4, Norway 12, Saudi Arabia 1, Sweden 9, Switzerland 1, UK 1) (2006) |
| **Gabon** | *registered in other countries:* 2 (Cambodia 1, Panama 1) (2006) |
| **Gambia, The** | *total:* 5 ships (1000 GRT or over) 32,064 GRT/9,751 DWT |
| | *by type:* passenger/cargo 4, petroleum tanker 1 (2006) |
| **Georgia** | *total:* 222 ships (1000 GRT or over) 1,059,386 GRT/1,538,746 DWT |
| | *by type:* bulk carrier 27, cargo 176, container 4, liquefied gas 1, passenger 1, passenger/cargo 3, petroleum tanker 3, refrigerated cargo 4, roll on/roll off 2, specialized tanker 1 |
| | *foreign-owned:* 188 (Albania 1, Azerbaijan 2, Belgium 1, China 2, Cyprus 1, Ecuador 1, Egypt 8, Germany 1, Greece 8, Indonesia 1, South Korea 1, Lebanon 7, Monaco 13, Romania 11, Russia 28, Slovakia 1, Slovenia 1, Syria 43, Turkey 30, UAE 1, UK 4, Ukraine 22) (2006) |
| **Germany** | *total:* 394 ships (1000 GRT or over) 11,017,754 GRT/13,091,194 DWT |
| | *by type:* bulk carrier 1, cargo 60, chemical tanker 13, container 273, liquefied gas 3, passenger 6, passenger/cargo 25, petroleum tanker 10, roll on/roll off 3 |
| | *foreign-owned:* 4 (Finland 2, Italy 1, Switzerland 1) |
| | *registered in other countries:* 2,491 (Antigua and Barbuda 858, Australia 3, Bahamas 22, Belize 3, Bermuda 21, Brazil 7, Bulgaria 1, Burma 5, Canada 3, Cayman Islands 13, Cyprus 214, Denmark 13, Dominica 1, French Southern and Antarctic Lands 2, Georgia 1, Gibraltar 108, Guyana 1, Hong Kong 6, Indonesia 1, Ireland 2, Isle of Man 56, Jamaica 3, Liberia 587, Luxembourg 10, Malaysia 2, Malta 64, Marshall Islands 194, Morocco 2, Netherlands 56, Netherlands Antilles 60, NZ 1, Panama 35, Portugal 17, Russia 2, Saint Vincent and the Grenadines 8, Samoa 1, Singapore 9, Spain 12, Sri Lanka 5, Sweden 3, Turkey 1, UK 76, US 2) (2006) |
| **Ghana** | *total:* 4 ships (1000 GRT or over) 6,308 GRT/9,418 DWT |
| | *by type:* cargo 1, petroleum tanker 1, refrigerated cargo 2 |
| | *foreign-owned:* 1 (Brazil 1) (2006) |
| **Gibraltar** | *total:* 180 ships (1000 GRT or over) 1,129,379 GRT/1,437,754 DWT |
| | *by type:* barge carrier 3, bulk carrier 1, cargo 105, chemical tanker 26, container 26, passenger 1, petroleum tanker 11, roll on/roll off 6, specialized tanker 1 |
| | *foreign-owned:* 165 (Belgium 2, Cyprus 1, Denmark 1, Finland 3, France 1, Germany 108, Greece 7, Iceland 1, Ireland 1, Italy 6, Latvia 2, Netherlands 5, Norway 18, Sweden 5, UK 4) (2006) |
| **Greece** | *total:* 817 ships (1000 GRT or over) 31,895,832 GRT/54,341,584 DWT |
| | *by type:* bulk carrier 270, cargo 61, chemical tanker 47, container 47, liquefied gas 5, passenger 11, passenger/cargo 114, petroleum tanker 244, roll on/roll off 17, specialized tanker 1 |
| | *foreign-owned:* 24 (Belgium 12, Cyprus 1, Hong Kong 1, UK 9, US 1) |
| | *registered in other countries:* 2,363 (Bahamas 232, Barbados 11, Belgium 4, Belize 2, Bermuda 2, Cambodia 8, Cayman Islands 21, Comoros 10, Cyprus 337, Denmark 5, Dominica 5, Egypt 6, Georgia 8, Gibraltar 7, Honduras 3, Hong Kong 27, Isle of Man 45, Italy 6, Jamaica 6, North Korea 1, Lebanon 3, Liberia 267, Malta 495, Marshall Islands 199, Norway 1, Panama 524, Philippines 5, Portugal 4, Russia 1, Saint Kitts and Nevis 1, Saint Vincent and the Grenadines 82, Sao Tome and Principe 1, Singapore 9, Slovakia 4, UAE 2, UK 7, Uruguay 1, US 1, Venezuela 3, unknown 7) (2006) |
| **Greenland** | *total:* 3 ships (1000 GRT or over) 5,540 GRT/2,540 DWT |
| | *by type:* cargo 1, passenger 2 |
| | *registered in other countries:* 2 (Cyprus 1, Denmark 1) (2006) |
| **Guyana** | *total:* 7 ships (1000 GRT or over) 12,461 GRT/15,155 DWT |
| | *by type:* cargo 5, petroleum tanker 1, refrigerated cargo 1 |
| | *foreign-owned:* 1 (Germany 1) |
| | *registered in other countries:* 4 (Saint Vincent and the Grenadines 3, unknown 1) (2006) |
| **Honduras** | *total:* 136 ships (1000 GRT or over) 405,984 GRT/557,179 DWT |
